DateTime,AddedIPs,RemovedIPs
1627812271,1,2
1627812980,0,2
1627813698,3,3
1627814420,2,2
1627815138,4,0
1627815869,3,3
1627817298,1,2
1627818020,1,2
1627818738,0,3
1627819467,1,4
1627820896,1,2
1627821617,2,1
1627822335,2,3
1627823069,3,2
1627823780,4,2
1627824501,3,0
1627825219,2,1
1627826179,2,7
1627827153,2,3
1627827858,1,3
1627828580,2,0
1627829298,4,5
1627830272,0,2
1627830978,1,2
1627831708,0,3
1627832416,1,0
1627833136,3,1
1627833865,1,3
1627834579,3,2
1627835297,2,2
1627836023,2,1
1627836737,2,1
1627837469,4,2
1627838177,3,2
1627838896,1,1
1627839618,2,2
1627840339,2,1
1627841064,3,4
1627842024,3,3
1627843461,1,0
1627844201,1,6
1627844897,1,0
1627845858,1,4
1627846579,2,1
1627847300,2,2
1627848029,2,4
1627848738,5,1
1627849459,2,1
1627850180,1,0
1627850899,0,4
1627851623,3,0
1627852341,4,3
1627853057,1,0
1627853780,2,7
1627854496,2,0
1627855231,4,2
1627856181,1,3
1627856894,0,1
1627857622,0,2
1627858335,1,2
1627859068,1,3
1627859788,1,2
1627860496,3,0
1627861219,2,1
1627861938,2,5
1627862666,2,3
1627863386,2,3
1627864098,3,0
1627864819,1,9
1627865537,4,0
1627866266,2,6
1627866980,4,10
1627867940,7,3
1627868656,9,2
1627869379,9,7
1627870095,5,4
1627870830,4,9
1627871784,4,5
1627872497,1,8
1627873230,6,2
1627873937,4,3
1627874657,5,3
1627875377,4,3
1627876098,6,1
1627876830,3,6
1627877779,5,7
1627878495,3,0
1627879460,2,10
1627880896,2,1
1627881617,2,2
1627882336,0,1
1627883056,1,2
1627883777,1,3
1627884495,1,4
1627885221,1,1
1627885936,3,2
1627886661,3,1
1627887379,1,2
1627888097,3,62
1627888818,0,5
1627889535,1,0
1627890259,3,1
1627890977,2,2
1627891696,1,10
1627892417,1,2
1627893137,3,2
1627893857,3,0
1627894580,1,1
1627895299,0,1
1627896016,2,4
1627896736,3,1
1627897461,3,0
1627898176,2,1
1627899857,2,0
1627900579,0,1
1627901539,3,6
1627902264,1,0
1627902976,2,3
1627903695,0,1
1627904415,3,2
1627905135,2,0
1627905866,1,4
1627906590,1,3
1627907299,1,4
1627908018,1,0
1627908737,5,1
1627909471,0,1
1627910894,2,0
1627911615,1,3
1627912335,0,1
1627913065,4,0
1627913776,1,2
1627914498,3,2
1627915217,2,1
1627915934,1,3
1627916668,1,1
1627917377,1,2
1627918096,5,6
1627918829,2,3
1627919537,2,0
1627920263,0,1
1627920979,1,1
1627921694,2,1
1627922419,2,0
1627923137,1,5
1627923866,2,6
1627924578,1,3
1627925296,4,2
1627926735,1,1
1627927467,2,2
1627928175,1,0
1627928896,2,4
1627929614,1,5
1627930337,2,0
1627931063,1,3
1627931776,1,0
1627933215,2,4
1627933935,1,2
1627934675,1,6
1627935378,1,0
1627936096,2,2
1627936818,1,0
1627937540,0,4
1627938266,1,0
1627938975,3,2
1627939695,2,0
1627940415,3,2
1627941136,3,0
1627941862,1,4
1627942578,1,0
1627943296,3,0
1627944020,1,5
1627944737,4,0
1627945463,2,9
1627946179,1,0
1627946895,2,0
1627947614,1,0
1627948335,4,13
1627949068,4,0
1627950496,4,0
1627951217,3,14
1627951937,2,0
1627953379,7,7
1627954096,6,0
1627954817,9,15
1627955536,3,0
1627956268,2,0
1627956979,6,22
1627957698,4,0
1627958420,3,0
1627959137,5,15
1627959865,6,0
1627960580,2,13
1627961299,2,0
1627962017,5,0
1627962737,2,0
1627963462,4,10
1627964177,6,0
1627964894,2,0
1627965621,2,10
1627966336,1,0
1627967065,1,0
1627967776,2,3
1627968501,3,0
1627969216,3,0
1627969938,3,2
1627971376,1,2
1627972094,2,0
1627972819,2,0
1627973533,2,0
1627974265,2,1
1627974977,4,0
1627975696,0,3
1627976416,1,0
1627977135,0,1
1627977866,1,0
1627978580,1,4
1627979297,2,0
1627980022,1,2
1627981468,0,3
1627982177,2,0
1627982894,2,3
1627983615,1,0
1627984333,3,0
1627985067,3,1
1627985775,2,2
1627987219,3,2
1627987936,2,0
1627988664,2,2
1627989381,1,3
1627990096,1,0
1627990816,1,1
1627992263,1,1
1627992980,1,2
1627993693,1,0
1627994416,0,3
1627995136,5,4
1627995869,2,3
1627996580,1,1
1627997298,2,0
1627998017,2,2
1627998736,3,2
1627999462,2,2
1628000176,4,0
1628000895,2,2
1628001618,0,3
1628002335,1,0
1628003070,1,5
1628003780,2,0
1628004498,7,3
1628005219,2,0
1628005937,1,2
1628006668,1,0
1628007379,1,2
1628008817,2,3
1628009534,4,0
1628010266,1,0
1628010984,0,1
1628011697,1,0
1628012417,2,1
1628013135,1,0
1628013866,0,4
1628014577,1,0
1628015297,2,0
1628016017,1,5
1628016735,1,0
1628017465,2,5
1628018179,2,5
1628018899,2,0
1628019615,2,0
1628020336,1,0
1628021064,2,3
1628021780,1,8
1628022496,3,0
1628023218,1,0
1628023935,1,0
1628024667,1,8
1628025380,2,6
1628026096,3,0
1628027537,2,0
1628028275,5,0
1628028977,3,0
1628029698,2,0
1628030422,0,4
1628031134,1,0
1628031866,1,6
1628032577,2,0
1628033296,3,0
1628034017,1,7
1628034734,3,0
1628035467,6,0
1628036177,2,8
1628036895,5,0
1628037616,3,15
1628038336,3,0
1628039066,4,0
1628039781,3,10
1628040496,5,0
1628041215,8,11
1628041940,2,12
1628042664,4,0
1628043380,4,13
1628044095,8,0
1628044815,5,13
1628045537,5,0
1628046266,5,6
1628046977,4,0
1628047700,5,7
1628048414,1,0
1628049137,2,0
1628049863,1,10
1628050578,14,0
1628051294,1,7
1628052016,2,0
1628052735,2,0
1628053470,4,0
1628054177,2,3
1628054896,5,0
1628056337,5,9
1628057067,2,0
1628057777,1,0
1628059219,1,0
1628059936,3,0
1628060667,4,0
1628061382,3,0
1628062095,1,0
1628062818,1,0
1628064266,2,0
1628065698,1,0
1628066418,3,0
1628067139,1,0
1628067866,1,0
1628069544,3,0
1628070258,2,0
1628070980,1,0
1628071940,2,0
1628072898,3,0
1628075063,1,0
1628075779,1,0
1628076498,3,0
1628077936,1,0
1628078667,3,0
1628079376,1,0
1628080098,0,142
1628080816,1,0
1628081534,4,0
1628082271,4,0
1628082978,4,0
1628084661,3,0
1628085375,1,0
1628086340,1,0
1628087780,1,0
1628091379,1,0
1628094257,4,0
1628096428,4,0
1628098581,2,0
1628102901,1,0
1628105055,6,0
1628107218,3,0
1628109379,2,0
1628112262,2,0
1628115141,2,0
1628118027,4,0
1628120895,2,0
1628123783,3,0
1628125937,10,11
1628128099,3,20
1628129537,5,20
1628130255,4,4
1628131939,2,16
1628132905,4,6
1628134337,3,8
1628135057,6,6
1628136499,5,5
1628137937,3,6
1628138659,4,0
1628140096,3,3
1628140819,10,3
1628141535,2,4
1628142976,3,5
1628143959,4,2
1628144657,5,1
1628146340,3,5
1628147064,2,0
1628148496,3,3
1628149935,2,1
1628150667,2,3
1628151377,1,0
1628152338,0,1
1628153056,0,2
1628153780,1,0
1628154498,1,0
1628155220,1,1
1628155937,0,2
1628156655,1,3
1628157378,3,2
1628159055,0,1
1628159790,1,0
1628160497,2,5
1628161219,1,1
1628161937,2,5
1628162663,0,2
1628163381,1,0
1628164098,2,2
1628164817,2,0
1628165539,3,1
1628166259,1,1
1628166980,1,2
1628167706,2,0
1628168427,0,4
1628169384,0,5
1628170099,0,1
1628170816,1,0
1628171537,1,2
1628172271,3,2
1628172977,0,2
1628173696,0,2
1628174419,0,2
1628175137,1,4
1628175865,1,3
1628176579,1,2
1628177303,0,4
1628178735,1,1
1628179468,0,7
1628180178,0,3
1628180896,0,1
1628181619,0,2
1628182578,3,1
1628183297,1,2
1628184017,2,2
1628184738,2,0
1628185456,2,3
1628186175,3,1
1628187619,2,2
1628188335,2,2
1628189062,1,2
1628190740,1,5
1628191459,2,1
1628192179,0,3
1628192918,0,1
1628193620,1,0
1628194338,1,1
1628195299,0,1
1628196017,2,0
1628196738,0,7
1628197467,1,2
1628198176,2,0
1628198899,2,2
1628199618,0,3
1628200341,0,1
1628201311,1,2
1628202017,1,3
1628202738,3,1
1628203700,0,4
1628204435,0,1
1628205384,1,2
1628206327,1,6
1628207046,0,5
1628207771,2,3
1628208730,2,4
1628210169,3,11
1628211127,0,9
1628211855,1,1
1628212570,7,3
1628213284,5,11
1628214008,3,8
1628214725,2,4
1628215456,5,6
1628216166,0,12
1628216893,2,3
1628217609,1,0
1628218325,4,8
1628219056,4,1
1628219773,2,5
1628220491,3,7
1628221929,3,13
1628222653,5,3
1628223369,9,0
1628224086,2,2
1628225528,5,10
1628226258,3,0
1628226969,3,1
1628227687,4,2
1628228655,2,1
1628230332,1,3
1628231049,4,2
1628231768,5,1
1628232494,3,0
1628233217,4,4
1628234649,0,3
1628235369,2,0
1628237525,1,4
1628238250,4,0
1628239690,1,0
1628241128,2,1
1628241852,4,5
1628242570,1,0
1628244024,3,5
1628244739,2,0
1628245456,2,2
