DateTime,AddedIPs,RemovedIPs
1627733883,21,1
1627736409,108,226
1627737123,27,0
1627737842,29,0
1627738562,28,130
1627739283,16,0
1627739644,7,0
1627740723,37,83
1627741444,23,0
1627742162,39,136
1627742523,11,10
1627744324,68,81
1627745042,23,0
1627746843,69,135
1627749723,132,236
1627751163,62,67
1627752962,68,9865
1627753682,9824,0
1627754043,14,0
1627755183,49,79
1627755482,15,0
1627757642,92,119
1627758362,34,65
1627759502,45,0
1627760163,25,88
1627760883,32,0
1627761242,17,0
1627761964,35,54
1627763103,54,0
1627764125,49,71
1627765923,68,51
1627766644,25,0
1627768082,68,70
1627769884,89,45
1627770606,38,70
1627771323,28,23
1627772043,27,1
1627772763,34,49
1627773843,44,0
1627775645,76,76
1627777443,91,43
1627778883,77,85
1627781044,106,45
1627782125,51,85
1627783562,77,56
1627784643,9,22014
1627785362,22019,28
1627786084,29,18
1627786442,11,0
1627787164,33,45
1627787524,15,0
1627788664,47,77
1627789768,32,16
1627790882,41,60
1627792205,45,83
1627792922,33,25
1627793643,27,0
1627794722,45,68
1627795083,14,0
1627796523,62,98
1627797963,53,71
1627799764,86,110
1627800483,32,12
1627800843,16,0
1627801563,31,119
1627802702,60,0
1627803723,44,103
1627804809,35,86
1627805523,74,1
1627805883,21,0
1627807324,66,138
1627808043,42,0
1627809124,43,63
1627809482,18,0
1627810563,56,125
1627812723,7,27685
1627813442,27740,0
1627814163,38,135
1627814885,34,17
1627815243,14,0
1627817043,93,58
1627817762,28,117
1627818122,12,0
1627819563,73,92
1627820643,44,0
1627821363,35,110
1627824604,161,1149
1627826045,60,218
1627826763,22,833
1627828204,75,819
1627828925,45,176
1627829644,48,0
1627830722,56,656
1627831082,20,0
1627831804,33,207
1627832524,29,33
1627833242,33,0
1627834683,79,52
1627836126,68,111
1627836843,38,0
1627837563,38,69
1627838643,43,0
1627839363,24,92
1627839724,19,37
1627841883,96,142
1627842604,24,119
1627843684,36,18
1627844043,15,0
1627845123,50,52
1627846205,38,61
1627846922,30,15
1627847642,32,0
1627848722,183,51
1627849863,80,86
1627850164,14,18
1627851303,50,0
1627851963,26,60
1627854128,109,83
1627854484,19,1
1627855563,58,55
1627856643,79,0
1627858083,74,80
1627858812,39,41
1627859163,9,0
1627860964,85,72
1627861324,11,0
1627863123,101,55
1627863842,39,0
1627864563,32,54
1627864923,20,7
1627865643,29,0
1627867805,108,136
1627868523,39,17
1627869722,77,57
1627870683,56,0
1627871405,59,66
1627872123,53,18
1627873923,146,46
1627874643,269,0
1627876083,206,84
1627877223,81,76
1627877884,34,0
1627878963,74,9386
1627880042,9383,8
1627881122,70,45
1627881842,54,1
1627882563,49,79
1627882923,25,0
1627884122,80,54
1627885084,69,1
1627885805,64,61
1627886523,36,22
1627887242,43,0
1627888322,56,38
1627889043,31,1
1627889762,37,103
1627890486,50,0
1627890843,15,0
1627892284,65,66
1627893363,88,106
1627895163,110,87
1627896604,93,81
1627897682,70,11
1627898043,40,0
1627898762,45,55
1627900564,94,114
1627902362,78,56
1627903805,67,68
1627904882,359,17
1627905243,14,0
1627906322,49,64
1627907043,30,0
1627907763,29,87
1627908483,41,8
1627909210,40,33
1627909922,41,0
1627911364,101,84
1627913163,112,60
1627914604,90,55
1627915683,61,20
1627916763,55,46
1627917845,62,1
1627918563,22,92
1627918922,20,1
1627919644,42,0
1627920362,32,72
1627921443,45,0
1627922163,42,78
1627924322,70,15311
1627924683,15295,0
1627925405,28,131
1627926588,69,10
1627927682,54,70
1627929005,93,80
1627930442,443,34
1627931884,699,45
1627933323,801,93
1627934043,345,0
1627935483,703,57
1627937283,636,97
1627939083,152,56
1627940163,90,94
1627941963,136,53
1627943763,138,87
1627944124,22,7
1627945322,86,66
1627946283,80,0
1627947363,69,11032
1627947722,10963,0
1627949165,103,91
1627951324,119,108
1627952044,35,0
1627953122,15,25802
1627953844,25841,0
1627954562,0,23457
1627956723,23451,0
1627957443,37,0
1627958163,39,97
1627958523,17,7
1627959242,36,0
1627959962,53,40
1627961044,42,0
1627961761,38,93
1627963563,92,66
1627964642,41,0
1627965362,31,84
1627966083,28,7
1627966811,34,51
1627967523,32,0
1627968243,36,0
1627968963,32,91
1627969324,19,0
1627970762,71,55
1627971902,63,0
1627973643,116,367
1627974363,38,46
1627975083,37,0
1627975805,22,118
1627977608,97,90
1627978323,38,0
1627979045,37,0
1627979405,14,79
1627980482,74,26
1627982283,107,73
1627983723,69,113
1627984442,27,0
1627986243,78,66
1627986963,34,100
1627987323,21,13
1627988764,81,69
1627989843,19,21550
1627990567,21563,54
1627991643,57,0
1627992783,55,108
1627993083,12,0
1627994524,86,106
1627996323,107,55
1627997042,36,0
1627997763,36,104
1627999563,100,84
1628000703,49,0
1628001724,42,123
1628003526,75,55
1628004243,36,0
1628004963,36,99
1628005682,28,1
1628006043,15,0
1628007123,50,77
1628008923,86,112
1628009643,25,0
1628010722,60,50
1628012525,107,94
1628013242,31,0
1628014322,48,56
1628016124,90,98
1628016483,14,0
1628018282,138,61
1628019364,48,169
