DateTime,AddedIPs,RemovedIPs
1627778887,3,8
1627780688,3,8
1627781049,1,1
1627782129,1,7
1627783566,9,3
1627784289,7,3
1627785011,4,5
1627786090,6,3
1627786447,3,0
1627787168,1,6
1627787529,2,0
1627788668,8,2
1627789771,2,2
1627790887,2,4
1627791487,4,2
1627792211,0,1
1627792927,1,3
1627793646,1,1
1627794368,1,2
1627795086,0,2
1627795809,1,7
1627796527,1,4
1627797967,4,5
1627799768,6,2
1627800486,1,2
1627800848,2,1
1627801567,1,3
1627802707,5,8
1627803728,5,3
1627804089,0,3
1627804817,0,2
1627805528,2,3
1627807687,2,7
1627808047,0,1
1627808767,2,2
1627809486,2,1
1627810210,0,3
1627810567,1,2
1627812366,7,4
1627813087,7,1
1627813447,2,2
1627814166,0,3
1627814889,1,3
1627815248,0,1
1627817046,6,5
1627817766,3,5
1627818127,2,0
1627819567,8,6
1627820287,2,1
1627821012,2,2
1627821368,1,0
1627823167,5,7
1627823527,0,2
1627824247,1,2
1627824608,1,0
1627825329,5,3
1627826048,2,3
1627826767,7,3
1627827487,2,2
1627828209,0,3
1627828929,2,2
1627829648,4,4
1627830725,2,3
1627831087,1,0
1627831808,2,3
1627832528,1,4
1627833246,4,1
1627835047,8,4
1627835767,1,7
1627836130,0,1
1627836846,3,0
1627837567,0,3
1627838287,2,0
1627839366,0,6
1627839728,0,1
1627841888,7,6
1627842610,0,24
1627843688,2,1
1627844047,1,2
1627845127,1,1
1627846208,1,1
1627846927,1,1
1627847646,5,2
1627848370,5,3
1627848727,1,0
1627849868,1,1
1627851307,0,3
1627851967,1,2
1627854132,7,10
1627855568,4,2
1627856286,4,2
1627856654,2,0
1627858088,3,9
1627858818,0,5
1627859167,1,1
1627860969,12,2
1627861329,18,5
1627863127,5,29
1627863845,1,4
1627864566,4,2
1627864927,3,0
1627865647,3,0
1627867810,5,5
1627868527,5,0
1627869726,7,5
1627870687,1,2
1627871410,1,2
1627872127,1,1
1627873928,9,4
1627874650,6,1
1627876088,6,3
1627877227,1,3
1627877888,0,1
1627878610,0,3
1627878968,1,1
1627880046,1,3
1627881846,4,3
1627882567,2,1
1627882927,4,2
1627884126,3,4
1627885087,3,6
1627885809,2,1
1627886528,4,2
1627887246,0,4
1627887966,2,1
1627888687,4,2
1627889047,0,2
1627889767,5,7
1627890490,7,1
1627890847,0,6
1627891566,3,1
1627893367,2,6
1627895166,6,5
1627895527,1,1
1627896247,3,1
1627896609,2,0
1627897686,4,2
1627898047,0,2
1627898767,0,5
1627900568,3,5
1627902365,9,6
1627903087,5,3
1627903809,0,1
1627904167,0,2
1627904887,0,1
1627905247,1,0
1627907047,3,4
1627907768,3,3
1627908487,3,2
1627909217,2,2
1627909926,1,0
1627911367,6,4
1627913167,3,4
1627914608,3,2
1627915327,1,2
1627915688,1,0
1627916767,1,3
1627917849,3,1
1627918567,2,3
1627918925,1,0
1627919649,6,1
1627920365,7,3
1627921086,3,0
1627921446,1,0
1627922166,2,0
1627923246,3,4
1627924326,2,9
1627924687,4,1
1627925410,0,3
1627926592,4,1
1627927686,5,4
1627928288,2,2
1627929014,1,1
1627930446,2,5
1627931888,1,5
1627933328,3,3
1627934048,4,0
1627935849,16,5
1627936568,1,2
1627937287,0,2
1627939088,1,7
1627940167,1,1
1627941969,1,4
1627943769,6,7
1627945326,6,4
1627946287,1,3
1627947011,2,4
1627947726,0,2
1627949169,6,5
1627949887,1,1
1627950247,1,2
1627950968,1,1
1627951329,2,0
1627952047,3,3
1627952767,3,4
1627953847,5,4
1627954567,2,2
1627955647,0,3
1627956728,7,1
1627958168,1,2
1627958527,2,1
1627959247,1,1
1627959967,0,1
1627961054,4,1
1627961766,4,2
1627963567,4,4
1627964289,4,2
1627965010,2,2
1627965726,4,4
1627966448,2,1
1627967166,1,1
1627967887,1,1
1627968610,0,4
1627969328,1,0
1627970047,2,4
1627970766,0,1
1627971907,2,1
1627973646,4,5
1627974366,0,1
1627975087,1,1
1627975809,2,5
1627977618,2,3
1627978328,0,1
1627979053,2,1
1627979414,1,1
1627980487,5,3
1627981566,2,1
1627982287,2,1
1627983011,0,3
1627983727,1,1
1627984446,2,4
1627985166,2,1
1627985888,0,4
1627986248,1,1
1627986966,1,2
1627987327,0,2
1627988768,2,1
1627990571,4,5
1627991646,3,3
1627992787,5,5
1627993087,0,1
1627994527,3,1
1627996327,4,3
1627997051,2,1
1627997767,1,0
1627999566,6,6
1628000707,1,3
1628001728,1,3
1628003530,0,5
1628004248,3,1
1628004967,1,1
1628005687,0,2
1628008926,3,8
1628009647,1,7
1628010727,4,1
1628011867,5,3
1628012530,5,2
1628013246,2,3
1628013967,1,2
1628014327,1,0
1628016128,1,1
1628016488,1,1
1628018287,6,4
1628019010,3,2
1628019368,1,2
1628020447,2,0
1628021528,2,0
1628022249,0,2
1628022611,1,1
1628023329,2,3
1628024493,2,3
1628025609,1,1
1628026210,1,2
1628026932,3,3
1628027646,1,3
1628029452,6,2
1628029814,0,2
1628030527,1,2
1628031248,2,0
1628031966,1,2
1628033047,1,1
1628034488,13,2
1628035927,7,2
1628037728,3,5
1628038091,1,1
1628038819,7,2
1628039526,4,1
1628041327,5,6
1628042528,4,8
1628043486,1,6
1628044930,0,6
1628045649,1,0
1628046367,2,3
1628047090,2,1
1628047814,1,5
1628048530,0,1
1628049624,1,0
1628051410,7,2
1628052127,1,3
1628052847,5,1
1628053567,4,4
1628055367,8,6
1628056088,1,3
1628056448,2,1
1628057166,3,2
1628058247,3,3
1628058968,1,2
1628060767,0,6
1628062567,3,6
1628063707,7,2
1628064728,3,2
1628065451,4,3
1628066170,1,2
1628066887,1,1
1628067247,3,3
1628067967,4,3
1628068687,4,1
1628069828,1,7
1628071328,2,3
1628072288,4,4
1628073009,1,1
1628073727,1,4
1628075169,1,2
1628076246,2,0
1628076610,0,2
1628078048,3,3
1628079187,6,1
1628080209,2,4
1628081348,2,3
1628082368,5,2
1628084167,2,1
1628084891,5,1
1628085246,1,1
1628085966,3,2
1628086328,1,1
1628088130,13,7
1628088847,2,4
1628090288,0,3
1628091010,0,1
1628091368,0,1
1628092088,0,2
1628093527,2,1
1628094609,0,5
1628095328,2,2
1628095686,1,0
1628096827,1,0
1628097488,2,1
1628098209,3,0
1628098566,1,0
1628100367,4,1
1628101087,0,2
1628103248,6,5
1628105046,2,2
1628106847,5,9
1628108647,9,3
1628109728,2,6
1628110448,2,2
1628111168,0,3
1628111887,2,5
1628112608,3,2
1628113327,4,2
1628114046,1,1
1628114767,0,2
1628115489,1,0
1628116214,2,3
1628116568,1,0
1628117288,6,3
1628117647,2,1
1628118368,5,0
1628119087,6,2
1628119447,0,2
1628120529,2,2
1628120887,1,0
1628122689,4,6
1628123770,1,4
1628124847,1,3
1628126288,2,3
1628128087,7,7
1628129888,5,4
1628130247,2,1
1628131328,5,2
1628133127,4,3
1628133852,1,1
1628134216,1,3
1628135289,1,3
1628136728,7,1
1628138526,11,7
1628139247,4,1
1628139968,1,1
1628140686,3,0
1628141410,0,2
1628143327,2,4
1628144289,5,2
1628146086,2,7
1628147887,3,5
1628148610,0,2
1628149327,0,1
1628149687,0,1
1628151127,4,1
1628151853,1,1
1628152568,0,4
1628152928,1,1
1628154127,4,4
1628154727,0,2
1628155447,1,2
1628156166,4,0
1628156529,0,2
1628157726,1,4
1628158328,2,1
1628159047,2,2
1628159410,0,1
1628160847,4,2
1628161567,0,3
1628161926,1,3
1628163009,2,4
1628164449,2,4
1628165166,1,2
1628165886,3,0
1628166609,5,2
1628167328,5,2
1628169136,3,8
1628169489,1,1
1628171287,9,3
1628171647,0,1
1628172367,1,1
1628173087,0,4
1628173810,0,2
1628174172,0,1
1628175308,3,2
1628176328,0,4
1628177048,0,1
1628177409,0,2
1628178128,0,1
1628178847,2,1
1628179569,0,3
1628180286,2,2
1628181009,1,3
1628182088,9,3
1628182447,3,0
1628183527,2,1
1628184247,1,1
1628184968,0,2
1628185688,1,5
1628187129,5,1
1628187853,2,2
1628188566,1,5
1628188929,1,1
1628189647,0,2
1628190367,1,1
1628191808,8,3
1628193738,1,1
1628194326,1,1
1628195049,0,1
1628196847,0,4
1628198651,1,1
1628199737,2,0
1628201527,6,7
1628202251,4,2
1628202968,1,1
1628203687,1,1
1628204768,0,2
1628205487,0,2
1628205847,0,2
1628207646,1,3
1628209448,6,3
1628210167,11,1
1628211967,29,4
1628212687,0,11
1628213414,1,0
1628214129,1,2
1628214846,1,1
1628216648,0,5
1628217367,1,3
1628218822,19,3
1628219530,0,1
1628220253,15,3
1628220970,6,2
1628221328,2,1
1628222769,7,5
1628223487,0,1
1628224628,0,3
1628225768,0,5
1628226908,1,0
1628227447,0,3
1628228528,2,1
1628229967,0,3
1628230328,0,1
1628231411,0,3
1628232127,0,2
1628233927,14,6
1628234649,1,1
1628235367,2,2
1628237166,1,7
1628237529,0,1
1628238669,0,2
1628238968,1,2
1628240766,12,8
1628241487,1,2
1628242929,4,6
1628245088,1,6
