DateTime,AddedIPs,RemovedIPs
1627758363,24,46
1627759504,25,4
1627760164,11,49
1627760884,23,1
1627761244,12,3
1627761966,17,37
1627763106,38,2
1627764127,31,60
1627765925,34,37
1627766646,18,3
1627768083,35,65
1627769886,46,35
1627770608,23,45
1627771324,24,26
1627772044,15,3
1627772765,19,33
1627773485,25,5
1627773845,6,0
1627775646,44,51
1627777445,49,29
1627778885,49,70
1627780686,51,34
1627781046,13,1
1627782126,30,62
1627783564,38,48
1627785364,36,80
1627786086,19,18
1627786444,6,3
1627787165,18,39
1627787526,8,2
1627788666,30,65
1627789769,19,12
1627790884,28,47
1627791485,9,4
1627792207,12,66
1627792924,26,22
1627793644,14,1
1627795084,40,60
1627795806,30,63
1627796525,20,10
1627797965,38,58
1627799765,51,86
1627800484,13,8
1627800845,14,2
1627801564,14,95
1627802704,41,5
1627803725,20,85
1627804813,23,60
1627805524,46,2
1627805885,9,0
1627807684,42,111
1627808044,14,0
1627809483,40,53
1627810207,19,71
1627810564,13,28
1627813444,88,73
1627814164,21,64
1627814887,19,12
1627815245,7,0
1627817044,46,49
1627817763,17,87
1627818124,8,2
1627819565,36,59
1627821008,31,67
1627821365,13,12
1627823164,53,75
1627823525,11,0
1627824244,16,1
1627824605,9,75
1627825327,18,20
1627826046,17,2
1627826764,10,55
1627827484,23,2
1627828206,20,48
1627828927,25,14
1627829645,23,4
1627830723,30,42
1627831084,11,0
1627831806,16,59
1627832525,19,24
1627833243,17,3
1627835045,47,43
1627835764,21,77
1627836128,6,0
1627836844,16,2
1627837565,24,49
1627838645,24,2
1627839364,20,69
1627839726,10,36
1627841886,60,117
1627842606,17,49
1627843685,23,15
1627844044,10,1
1627845125,27,45
1627846206,31,44
1627846924,17,13
1627847643,24,5
1627848367,17,44
1627848724,7,3
1627849865,23,70
1627850166,7,17
1627851305,25,0
1627851964,15,45
1627854129,61,70
1627854485,11,1
1627855565,29,44
1627856284,23,2
1627856649,7,1
1627858085,37,63
1627858815,20,29
1627859165,4,1
1627860966,40,51
1627861326,5,1
1627863124,48,43
1627863843,19,2
1627864564,17,42
1627864924,8,7
1627865645,11,3
1627867807,43,72
1627868525,10,16
1627869724,36,47
1627870684,22,1
1627871408,22,45
1627872124,18,9
1627873924,70,47
1627874647,20,10
1627876085,52,83
1627877225,36,62
1627877885,14,0
1627878965,52,62
1627880043,37,6
1627881483,46,41
1627882564,40,62
1627882924,19,5
1627884123,44,43
1627885085,41,2
1627885807,22,46
1627886525,18,19
1627887243,32,1
1627888685,46,33
1627889045,12,0
1627889763,34,79
1627890487,34,7
1627890844,19,0
1627891564,26,41
1627892287,16,1
1627893365,73,66
1627895164,74,54
1627896607,57,62
1627897684,33,11
1627898045,27,0
1627898764,26,39
1627900565,52,65
1627902363,57,51
1627903085,31,4
1627903807,21,51
1627905245,44,24
1627906323,40,50
1627907045,18,1
1627907765,23,69
1627908484,21,8
1627909213,27,29
1627909923,24,1
1627911365,58,63
1627913164,57,50
1627914605,50,34
1627915324,25,14
1627915685,10,1
1627916764,32,30
1627917846,33,4
1627918564,14,49
1627918923,9,2
1627919646,25,6
1627920363,16,47
1627921444,28,4
1627922164,22,51
1627924684,73,49
1627925406,21,94
1627926590,44,10
1627927683,39,46
1627928285,22,3
1627929011,18,46
1627930444,42,21
1627931886,43,37
1627933324,57,56
1627934045,16,4
1627935846,53,45
1627936565,23,54
1627937285,13,5
1627939084,46,24
1627940164,24,54
1627941965,36,25
1627943766,49,61
1627944126,6,4
1627945324,20,42
1627946284,27,0
1627947723,40,61
1627949167,36,47
1627949884,12,1
1627950244,7,0
1627950965,21,46
1627951326,13,10
1627952045,20,3
1627953123,39,37
1627953845,25,5
1627954564,15,68
1627956725,57,36
1627957445,20,0
1627958165,19,59
1627958524,7,7
1627959244,20,1
1627959964,21,24
1627961050,30,4
1627961763,30,59
1627963564,54,44
1627965007,28,58
1627965724,19,11
1627967164,37,35
1627967884,18,0
1627968964,34,52
1627969325,8,1
1627970045,23,1
1627970763,14,25
1627971904,41,2
1627973644,77,298
1627974364,22,26
1627975084,25,0
1627975806,16,70
1627977612,73,56
1627978324,26,0
1627979050,29,1
1627979410,8,54
1627980483,53,18
1627982284,71,48
1627983007,20,54
1627983725,20,12
1627984444,18,0
1627985164,12,28
1627985885,31,0
1627986245,13,2
1627986964,19,53
1627987324,13,8
1627988765,41,35
1627990208,43,89
1627990568,5,24
1627991644,27,0
1627992784,30,66
1627993084,14,1
1627994525,51,60
1627996324,59,32
1627997048,24,2
1627997764,21,61
1627999564,69,53
1628000705,23,0
1628001725,21,71
1628003527,50,33
1628004245,24,3
1628004965,25,56
1628005684,16,1
1628006044,9,0
1628007124,27,51
1628008924,66,69
1628009644,20,1
1628010724,46,32
1628012527,60,66
1628013243,21,2
1628014324,32,37
1628016126,52,63
1628016484,7,3
1628018283,65,44
1628019007,18,36
1628019366,14,11
1628020444,26,2
1628021524,26,39
1628022246,20,0
1628022608,12,43
1628023324,25,19
1628024490,32,31
1628025606,28,1
1628026208,15,43
1628027643,45,10
1628029450,52,43
1628029810,8,35
1628031245,34,21
1628031964,27,27
1628033044,14,1
