DateTime,AddedIPs,RemovedIPs
1627374610,1,3
1627378217,0,2
1627382169,2,0
1627384328,3,0
1627385409,0,2
1627386127,2,0
1627386850,1,0
1627389010,0,2
1627389727,3,1
1627390448,1,0
1627391168,1,0
1627392249,1,0
1627392969,1,2
1627394768,2,1
1627396929,2,4
1627398427,0,1
1627399447,1,0
1627400529,2,0
1627402030,2,0
1627402689,1,0
1627403411,0,1
1627404128,3,0
1627405568,0,1
1627406288,1,0
1627407011,0,3
1627407368,2,0
1627409529,0,2
1627410974,2,1
1627412770,0,1
1627413488,2,0
1627414211,1,1
1627415648,1,0
1627416369,0,2
1627416730,1,0
1627417870,0,1
1627419968,0,3
1627422128,4,4
1627423930,3,1
1627425729,0,1
1627427527,1,0
1627428968,0,2
1627429688,3,0
1627430048,1,0
1627430769,1,1
1627432213,1,2
1627432929,1,0
1627433288,1,0
1627435811,0,3
1627436531,0,1
1627438328,2,2
1627440489,3,1
1627441927,2,1
1627443016,0,1
1627445166,0,3
1627446611,0,6
1627448768,1,2
1627450211,1,1
1627453448,1,2
1627455250,1,3
1627456329,0,1
1627456688,1,0
1627458127,0,4
1627459570,4,2
1627460288,1,0
1627461010,1,2
1627462447,1,0
1627464609,0,4
1627465701,2,0
1627466829,0,3
1627468568,0,4
1627471448,2,4
1627471811,2,2
1627472529,4,0
1627473247,4,0
1627473969,6,0
1627474688,4,0
1627475411,2,4
1627476848,5,0
1627477568,0,1
1627479010,3,1
1627480147,2,0
1627481287,0,1
1627481887,1,0
1627483687,3,0
1627485187,2,0
1627486212,0,1
1627487649,1,0
1627489088,1,0
1627490528,1,1
1627492388,1,0
1627493506,0,3
1627494129,1,0
1627495327,4,0
1627497728,0,2
1627500669,2,2
1627502769,3,1
1627506129,0,2
1627507088,2,0
1627507810,1,2
1627509968,3,0
1627511413,1,2
1627511768,1,0
1627513568,1,1
1627514288,1,0
1627515011,1,1
1627515369,3,0
1627516510,1,0
1627517648,2,2
1627518250,1,0
1627521130,1,1
1627524369,1,1
1627526529,1,0
1627527694,1,2
1627529413,0,2
1627531568,0,2
1627533011,0,1
1627535167,1,1
1627536967,0,1
1627538047,1,0
1627538767,2,3
1627539847,2,0
1627541647,1,0
1627542369,1,0
1627543446,1,0
1627545249,4,1
1627545968,0,1
1627547047,4,0
1627547769,1,2
1627552568,1,0
1627554611,0,1
1627556418,1,0
1627557488,2,0
1627561811,0,1
1627563967,1,0
1627566129,1,1
1627569011,0,2
1627569727,1,0
1627571167,0,1
1627572612,1,1
1627577647,1,1
1627578368,0,2
1627580170,0,1
1627581967,0,2
1627583410,0,4
