DateTime,AddedIPs,RemovedIPs
1627189697,6,9
1627191623,18,20
1627193528,17,15
1627195457,20,11
1627197385,25,26
1627199296,22,20
1627201206,17,22
1627203127,25,24
1627205059,21,22
1627206967,24,17
1627211057,18,41
1627212971,23,25
1627215140,28,22
1627217049,17,25
1627218969,23,20
1627220895,16,15
1627222811,21,26
1627224737,20,17
1627226650,12,17
1627228568,17,27
1627230496,23,16
1627232420,16,14
1627234337,16,13
1627236264,16,17
1627238167,12,20
1627240338,9,23
1627242247,20,15
1627244185,18,22
1627248252,22,36
1627250189,12,14
1627252088,18,21
1627254033,22,17
1627255932,9,12
1627257855,16,14
1627259783,21,24
1627261688,14,18
1627263851,13,15
1627265782,8,0
1627268287,24,19
1627270096,8,19
1627272269,12,13
1627275026,19,0
1627276826,21,19
1627278745,22,22
1627280658,21,23
1627286482,27,62
1627288568,20,0
1627290629,22,22
1627292651,28,18
1627294960,17,39
1627296967,27,25
1627299126,27,19
1627305130,21,57
1627307047,25,16
1627308976,19,12
1627310892,17,14
1627312808,17,17
1627314726,36,0
1627316657,17,51
1627318568,20,0
1627320727,21,50
1627322653,20,0
1627324583,20,23
1627326487,27,17
1627328648,30,21
1627330813,28,9
1627332737,24,51
1627334650,15,0
1627336578,20,32
1627338487,15,0
1627340437,21,12
1627343300,25,28
1627345205,12,26
1627347129,11,18
1627349059,11,8
1627350973,13,20
1627353129,10,9
1627355295,9,14
1627357219,17,13
1627359373,14,14
1627361294,9,21
1627363211,18,20
1627365126,22,28
1627367057,19,23
1627368967,20,22
1627370886,21,23
1627372826,17,0
1627374726,18,0
1627376656,24,14
1627378579,32,22
1627380742,30,39
1627382651,30,0
1627384568,29,18
1627386496,24,32
1627388404,24,23
1627390569,23,50
1627392726,21,19
1627394654,11,29
1627396577,29,21
1627398495,26,0
1627400649,29,20
1627402809,20,42
1627404968,35,20
1627406895,19,18
1627408812,18,11
1627410968,19,19
1627413130,18,19
1627415048,24,15
1627416979,17,26
1627419129,15,28
1627422247,12,20
1627424167,8,15
1627426094,10,25
1627428008,15,20
1627429926,4,13
1627431856,9,14
1627433764,10,17
1627435926,3,26
1627439777,11,56
1627441687,6,0
1627446009,9,53
1627448170,6,17
1627450331,16,24
1627452257,17,0
1627454190,17,26
1627456102,21,30
1627458019,19,13
1627459936,13,22
1627461845,11,4
1627463782,8,30
1627465689,13,23
1627467853,22,14
1627469768,15,21
1627471702,16,15
1627473618,15,22
1627475534,16,19
1627477480,13,0
1627480568,8,47
1627482487,16,16
1627484426,12,16
1627490183,28,62
1627492098,11,24
1627494016,23,10
1627495938,26,29
1627497846,29,23
1627500009,26,14
1627501926,20,15
1627504102,22,20
1627506019,21,27
1627507926,21,19
1627511769,27,25
1627513928,29,10
1627515844,22,12
1627517779,16,17
1627519686,16,19
1627521848,21,11
1627524025,10,14
1627525937,13,16
1627527863,12,12
1627529780,15,17
1627531694,16,27
1627533606,15,9
1627535542,20,29
1627537450,23,32
1627539624,21,13
1627541539,13,20
1627543453,22,19
1627545368,19,22
1627547293,13,22
1627549210,24,23
1627551142,29,18
1627553060,18,0
1627554984,28,17
1627556885,15,27
1627559055,34,0
1627560977,23,20
1627562891,23,25
1627564806,22,0
1627566740,23,17
1627568646,26,0
1627570570,29,30
1627572496,27,0
1627574423,19,18
1627578272,28,45
1627580169,21,22
1627582331,34,18
1627584246,16,0
1627586182,23,0
1627588089,13,16
1627590254,17,24
1627592169,13,16
1627594102,18,27
1627596020,7,16
1627597942,21,33
1627599855,16,21
1627601785,9,16
1627603927,12,14
1627605861,11,15
1627607770,8,11
1627609700,14,18
1627611612,7,0
1627613543,19,17
1627615451,8,13
1627617375,10,11
1627619292,16,20
1627621224,12,25
1627623128,19,21
1627625075,20,0
1627626972,24,21
1627629139,20,33
1627631046,21,31
1627632987,24,26
1627635153,20,32
1627637057,24,22
1627638977,20,27
1627640892,19,22
1627643057,22,24
1627644982,24,22
1627646891,16,27
1627649050,22,20
1627650979,25,20
1627653128,22,5
1627655049,17,23
1627656978,23,33
1627658887,19,0
1627661057,20,16
1627662981,27,17
1627664894,13,16
1627667050,19,12
1627669210,24,12
1627671125,17,13
1627673056,26,15
1627674966,14,7
1627677128,20,21
1627679299,15,11
1627681215,12,17
1627683129,16,11
1627685048,26,15
1627686977,21,11
1627690806,27,29
