DateTime,Entries,UniqueIPs
1627189697,6823,7117
1627191623,6821,7115
1627193528,6823,7117
1627195457,6831,7126
1627197385,6830,7125
1627199296,6834,7127
1627201206,6829,7122
1627203127,6830,7123
1627205059,6827,7122
1627206967,6835,7129
1627211057,6810,7106
1627212971,6807,7104
1627215140,6814,7110
1627217049,6802,7102
1627218969,6805,7105
1627220895,6806,7106
1627222811,6803,7101
1627224737,6809,7104
1627226650,6805,7099
1627228568,6796,7089
1627230496,6800,7096
1627232420,6802,7098
1627234337,6804,7101
1627236264,6803,7100
1627238167,6792,7092
1627240338,6780,7078
1627242247,6785,7083
1627244185,6781,7079
1627248252,6767,7065
1627250189,6769,7063
1627252088,6766,7060
1627254033,6773,7065
1627255932,6772,7062
1627257855,6775,7064
1627259783,6773,7061
1627261688,6766,7057
1627263851,6765,7055
1627265782,6773,7063
1627268287,6780,7068
1627270096,6770,7057
1627272269,6769,7056
1627275026,6787,7075
1627276826,6789,7077
1627278745,6789,7077
1627280658,6787,7075
1627286482,6754,7040
1627288568,6773,7060
1627290629,6775,7060
1627292651,6786,7070
1627294960,6763,7048
1627296967,6766,7050
1627299126,6774,7058
1627305130,6741,7022
1627307047,6753,7031
1627308976,6760,7038
1627310892,6762,7041
1627312808,6761,7041
1627314726,6796,7077
1627316657,6764,7043
1627318568,6784,7063
1627320727,6753,7034
1627322653,6773,7054
1627324583,6771,7051
1627326487,6781,7061
1627328648,6789,7070
1627330813,6803,7089
1627332737,6776,7062
1627334650,6791,7077
1627336578,6780,7065
1627338487,6794,7080
1627340437,6802,7089
1627343300,6802,7086
1627345205,6790,7072
1627347129,6783,7065
1627349059,6785,7068
1627350973,6778,7061
1627353129,6779,7062
1627355295,6774,7057
1627357219,6776,7061
1627359373,6776,7061
1627361294,6765,7049
1627363211,6763,7047
1627365126,6757,7041
1627367057,6751,7037
1627368967,6753,7035
1627370886,6751,7033
1627372826,6768,7050
1627374726,6784,7068
1627376656,6793,7078
1627378579,6802,7088
1627380742,6796,7079
1627382651,6825,7109
1627384568,6836,7120
1627386496,6831,7112
1627388404,6832,7113
1627390569,6806,7086
1627392726,6809,7088
1627394654,6794,7070
1627396577,6805,7078
1627398495,6825,7104
1627400649,6837,7113
1627402809,6812,7091
1627404968,6826,7106
1627406895,6828,7107
1627408812,6834,7114
1627410968,6835,7114
1627413130,6833,7113
1627415048,6845,7122
1627416979,6836,7113
1627419129,6824,7100
1627422247,6816,7092
1627424167,6810,7085
1627426094,6796,7070
1627428008,6787,7065
1627429926,6778,7056
1627431856,6773,7051
1627433764,6764,7044
1627435926,6743,7021
1627439777,6698,6976
1627441687,6704,6982
1627446009,6661,6938
1627448170,6650,6927
1627450331,6642,6919
1627452257,6659,6936
1627454190,6654,6927
1627456102,6646,6918
1627458019,6652,6924
1627459936,6643,6915
1627461845,6651,6922
1627463782,6629,6900
1627465689,6619,6890
