DateTime,AddedIPs,RemovedIPs
1622217637,0,1
1622239233,1,0
1622242823,2,0
1622246433,1,0
1622250037,1,0
1622253633,1,0
1622275237,0,1
1622289634,0,1
1622300430,0,1
1622311237,0,1
1622314837,0,1
1622332835,1,0
1622354433,0,1
1622365237,1,0
1622397637,0,1
1622408437,1,0
1622412034,2,1
1622419233,1,0
1622440838,0,1
1622444433,0,1
1622451634,0,1
1622466033,0,1
1622484033,0,1
1622487633,0,1
1622491238,0,2
1622502037,0,1
1622516431,0,1
1622530834,1,0
1622552434,0,1
1622556033,1,0
1622559634,1,0
1622566837,0,3
1622577637,0,1
1622581233,0,1
1622599233,1,0
1622602837,4,0
1622606434,2,0
1622628037,2,0
1622646010,0,2
1622653237,1,0
1622660434,0,1
1622664015,1,0
1622671228,1,0
1622678435,1,1
1622685635,0,1
1622714435,1,0
1622721639,0,1
1622725238,1,0
1622736035,1,0
1622750438,1,0
1622757614,0,1
1622768438,2,0
1622804437,1,0
1622840435,1,0
1622851234,0,1
1622854811,0,1
1622858434,1,0
1622869235,1,2
1622890834,1,0
1622944834,0,1
1622973631,0,1
1622995232,1,0
1623020438,0,1
1623045631,0,1
1623049239,0,1
1623056438,0,1
1623088838,0,1
1623110439,2,1
1623117634,0,1
1623139240,0,1
1623150034,0,1
1623207639,0,2
1623232839,0,1
1623236439,0,1
1623243638,0,1
1623258039,0,1
1623265239,0,1
1623279638,0,1
1623283238,0,1
1623286839,0,1
1623290439,1,0
1623294038,1,0
1623319227,0,1
1623326435,0,1
1623340840,1,0
1623362424,0,1
1623398439,0,1
1623409212,0,1
1623412835,0,1
1623420010,0,1
1623430825,1,0
1623448840,1,0
1623474040,0,2
1623520835,0,1
1623524439,0,1
1623542440,0,1
1623560410,1,0
1623596439,1,0
1623614435,0,1
1623646839,0,1
1623672040,1,0
1623715236,1,0
1623722436,0,1
1623754840,1,0
1623765637,1,0
1623772840,0,1
1623783640,1,0
1623787237,1,0
1623801637,0,1
1623805235,1,0
1623812436,0,1
1623823240,1,0
1623844836,1,0
1623852037,0,1
1623866426,1,0
1623888028,0,2
1623898834,2,0
1623927637,1,0
1623931225,9,0
1623934841,5,0
1623938435,8,0
1623942041,2,0
1623945634,1,0
1623949225,1,0
1623956437,1,0
1623960041,1,1
1623963637,1,0
1623970840,1,0
1623981637,1,0
1624003237,1,0
1624014054,1,0
1624024831,1,0
1624053616,0,1
1624093235,0,1
1624122033,1,0
1624136435,1,0
1624140035,0,1
1624176033,1,0
1624183235,1,0
1624212037,1,1
1624215635,3,0
1624219235,0,1
1624230028,1,0
1624233638,2,0
1624312839,0,2
1624323614,1,0
1624352435,1,0
1624381239,0,1
1624410031,1,1
1624413638,1,0
1624428033,1,1
1624464030,0,1
1624471235,0,1
1624478434,0,1
1624503639,1,0
1624514438,0,1
1624539639,0,2
