DateTime,AddedIPs,RemovedIPs
1623222027,0,4
1623229210,0,1
1623232839,3,0
1623236435,16,0
1623240039,13,0
1623243635,4,0
1623247230,3,0
1623250838,4,0
1623268834,1,1
1623272440,1,0
1623276027,0,1
1623294031,1,0
1623301235,1,0
1623312009,1,0
1623315639,2,1
1623322828,1,0
1623330035,1,1
1623340828,0,1
1623351638,1,0
1623355232,2,1
1623358810,1,0
1623362439,1,1
1623369612,1,0
1623373236,2,0
1623380435,1,0
1623398439,1,0
1623405609,2,0
1623409236,0,1
1623412835,1,0
1623420039,0,1
1623438011,1,0
1623441635,1,1
1623448836,0,2
1623456039,0,1
1623459609,0,1
1623463239,2,0
1623466835,1,0
1623470436,1,0
1623477636,1,0
1623481230,1,0
1623499231,0,1
1623506413,1,2
1623510040,0,1
1623517234,0,1
1623556839,0,8
1623560440,1,0
1623571234,0,1
1623578436,1,0
1623585617,0,1
1623589238,1,0
1623600040,1,0
1623603640,1,2
1623607237,0,1
1623625236,1,0
1623632436,0,1
1623654040,0,1
1623675615,1,0
1623697239,1,0
1623700836,1,1
1623704440,1,0
1623708035,0,1
1623733238,1,0
1623740436,1,0
1623758436,0,1
1623769219,0,1
1623794441,1,0
1623805212,0,1
1623808836,0,1
1623819614,0,1
1623826835,0,2
1623841240,0,1
1623844835,0,2
1623848436,1,0
1623852041,0,3
1623855640,0,1
1623859215,0,1
1623862841,0,1
1623866440,0,1
1623870040,0,1
1623873629,0,1
1623877235,0,1
1623880831,0,2
1623888035,1,0
1623895232,1,0
1623906038,0,2
1623916840,0,3
1623920441,0,1
1623931235,1,0
1623934840,0,1
1623938435,0,1
1623949234,0,1
1623952837,0,1
1623956437,0,1
1623960040,0,3
1623963615,1,1
1623967241,0,1
1623970836,0,1
1623974436,0,2
1623978038,0,3
1623981640,0,2
1623985240,0,2
1623988813,0,3
1623992436,0,1
1623996035,0,2
1623999640,0,2
1624003240,0,2
1624006836,0,4
1624010408,1,7
1624014054,0,4
1624017639,0,3
1624021237,0,2
1624028426,1,0
1624042840,0,1
1624046414,0,6
1624050033,0,1
1624053627,0,3
1624057239,1,1
1624060833,0,2
1624064432,0,4
1624068033,0,5
1624071635,0,7
1624075238,0,6
1624078840,0,2
1624093232,1,0
1624107633,1,0
1624129239,1,0
1624132833,0,1
1624204839,0,1
1624208435,1,1
1624226439,1,1
1624230022,0,1
1624233633,1,1
1624244414,1,0
1624258837,1,0
1624266039,1,0
1624269639,1,0
1624302037,0,2
1624305634,1,1
1624309227,0,1
1624320040,1,0
1624334433,0,1
1624338007,0,1
1624359637,0,1
1624366831,1,0
1624374035,0,1
1624377639,1,0
1624399239,0,2
1624406433,1,0
1624424438,1,0
1624446033,1,0
1624449637,1,0
1624453212,0,1
1624464039,0,1
1624482039,0,1
1624492836,0,1
1624500034,0,1
1624507230,1,0
1624514438,0,1
1624528830,1,0
1624532438,1,1
1624536037,0,1
1624546839,1,0
1624568432,0,2
1624572038,1,0
1624608031,1,0
1624626037,0,1
1624636825,0,1
1624647634,2,0
1624658438,1,0
1624662028,1,1
1624683639,0,1
1624701632,0,1
1624705210,1,0
1624708807,1,0
1624712438,0,1
1624723238,1,0
1624730438,0,1
1624734039,1,0
1624744838,1,0
1624755639,1,0
1624770032,1,0
1624777220,1,0
1624784438,0,1
1624791634,1,0
1624802439,0,1
1624806026,1,0
1624824039,1,0
1624831237,0,1
1624838434,0,1
1624849237,1,1
1624867232,0,1
1624874433,0,1
1624881639,0,1
1624910433,0,2
1624928434,1,0
1624971635,0,1
1624975216,1,0
1624978833,1,0
1624996833,0,1
1625022034,1,0
1625040035,1,0
1625043637,2,1
1625050835,1,0
1625054435,1,0
1625058036,1,0
1625065238,1,0
1625079636,1,0
1625083235,1,0
1625097639,1,0
1625101237,0,1
1625104837,1,0
1625112039,0,1
1625119235,0,1
1625126435,1,0
1625130035,0,1
1625144438,1,0
1625176835,0,1
1625180440,0,1
1625198440,1,0
1625202033,0,1
1625248835,0,1
1625252439,1,0
1625259639,1,0
1625266832,0,1
1625277634,1,0
1625284838,1,0
1625288433,1,0
1625310039,0,1
1625324438,1,0
1625331631,1,0
1625338834,1,0
1625342432,1,0
1625356839,2,0
1625364039,0,1
1625371232,0,1
1625378410,0,1
1625385634,0,1
1625392836,0,2
1625396415,1,1
1625414433,1,0
1625421634,0,1
1625425237,0,1
1625428832,1,0
1625443211,0,1
1625454039,1,0
1625457639,1,0
1625464816,0,1
1625479235,0,1
1625490011,1,0
1625497237,1,0
1625504436,1,0
1625544033,1,0
1625551236,1,0
1625569235,0,1
1625576441,0,1
1625623237,1,0
1625634034,1,0
1625644837,0,1
1625652032,1,1
1625655639,1,0
1625659237,0,1
1625670022,0,1
1625684437,1,0
1625691630,1,0
1625702433,1,1
1625709633,1,0
1625713235,0,2
1625724036,1,0
1625738415,1,1
1625742007,1,0
1625756433,0,1
1625763619,0,1
1625774433,1,0
1625788835,0,1
1625799636,0,1
1625824824,1,0
1625828432,0,1
1625835637,0,1
1625842838,1,0
1625853633,1,0
1625868036,1,0
1625871633,1,0
1625875236,0,1
1625878831,0,1
1625882418,0,1
1625889635,1,0
1625918423,1,1
1625925632,0,1
1625929233,1,1
1625932839,0,1
1625936416,0,1
1625940038,1,0
1625947240,0,3
1625958033,0,1
1625961633,1,0
1625972435,0,1
1625976038,0,1
1625979632,1,0
1625986839,0,1
1626004833,0,2
1626019235,0,1
1626030038,0,1
1626048039,1,0
1626080432,0,1
1626091237,1,1
1626123633,0,1
1626134438,0,1
1626152433,1,0
1626170424,1,0
1626206436,0,1
1626210033,1,0
1626217237,1,0
1626228037,0,1
1626235233,2,0
1626267632,0,1
1626271233,0,1
1626278436,0,2
1626285634,0,1
1626289238,1,0
1626292821,1,0
1626300034,0,1
1626314437,0,1
1626318037,1,0
1626321633,1,1
1626328829,0,1
1626332437,1,0
1626372007,1,0
1626375632,0,1
1626408008,1,0
1626433228,0,1
1626469235,0,1
1626487233,0,1
1626490833,1,0
1626501633,1,0
1626512407,0,1
1626523233,0,1
1626541237,0,1
1626562835,1,0
1626577234,1,0
1626580835,0,1
1626609638,1,0
1626667233,1,0
1626696039,0,1
1626714012,1,0
1626721235,2,0
1626728435,1,1
1626732033,1,0
1626739227,2,1
1626746433,1,0
1626764435,1,0
1626775235,0,1
1626793233,1,0
1626814833,0,1
1626818433,1,0
1626825638,1,0
1626832837,0,2
1626843638,1,0
1626861636,2,0
1626894034,0,1
1626897637,1,0
1626908438,1,0
1626912011,0,1
1626919237,1,1
1626922839,0,1
1626930039,0,1
1626933635,0,1
1626937207,1,0
1626958839,0,1
1626962428,1,0
1626966033,0,1
1626976835,0,1
1626980469,1,0
1626994833,1,0
1627002009,1,0
1627005607,2,0
1627027213,0,1
1627045233,1,0
1627063238,0,1
1627106435,0,1
1627120835,1,0
1627178435,1,0
1627210836,0,1
1627214438,1,0
1627232433,0,1
1627261237,1,0
1627268438,0,1
1627272034,3,0
1627279237,1,0
1627290033,1,0
1627304433,1,0
1627311636,1,0
1627315237,0,1
1627329633,2,1
1627333238,0,2
1627336834,2,1
1627340433,1,0
1627344034,1,1
1627347633,0,1
1627351233,0,1
1627354835,0,1
1627358438,1,0
1627380039,1,0
1627387238,1,0
1627390835,0,1
1627408838,1,0
1627412432,0,1
1627416036,1,0
1627423233,0,1
1627430433,1,0
1627434041,3,0
