DateTime,AddedIPs,RemovedIPs
1626447724,50,67
1626451318,59,74
1626454916,66,70
1626458518,59,57
1626462119,59,77
1626465726,53,48
1626469318,59,69
1626472928,46,61
1626476518,47,56
1626480117,120,65
1626483717,64,61
1626487316,62,53
1626490920,55,58
1626494523,47,65
1626498121,50,72
1626501726,51,63
1626505318,67,75
1626508918,57,53
1626512520,59,73
1626516116,32,73
1626519717,71,74
1626523359,53,73
1626526914,34,76
1626530518,63,65
1626534118,51,76
1626537718,53,70
1626541365,38,87
1626544918,35,75
1626548590,56,93
1626552133,39,81
1626555765,42,67
1626559326,38,47
1626562917,29,77
1626566567,32,67
1626570123,48,90
1626573714,32,84
1626577316,47,69
1626580921,36,68
1626584516,34,86
1626588126,34,69
1626591724,43,89
1626595316,41,109
1626598919,20,90
1626602519,61,87
1626606089,36,68
1626609698,48,100
1626613311,41,102
1626616898,53,89
1626620490,40,107
1626624074,34,101
1626627691,52,82
1626631293,41,70
1626634873,41,69
1626638512,69,88
1626642073,56,75
1626645704,47,98
1626649297,50,77
1626652876,40,72
1626656497,72,107
1626660079,73,117
1626663682,46,99
1626667301,59,103
1626670898,53,107
1626674496,107,105
1626678097,57,95
1626681719,71,112
1626685314,66,95
1626688898,57,113
1626692511,86,113
1626696080,59,93
1626699698,74,69
1626703290,52,68
1626706893,80,82
1626710517,53,59
1626714092,312,77
1626717715,399,60
1626721294,237,60
1626724921,235,80
1626728520,200,58
1626732120,189,65
1626735716,283,73
1626739295,176,55
1626742897,192,58
1626746495,176,67
1626750122,158,51
1626753724,114,148
1626757299,108,84
1626760922,124,86
1626764499,121,101
1626768124,144,77
1626771719,129,77
1626775320,117,82
1626778899,100,75
1626782522,139,95
1626786094,115,91
1626789719,84,108
1626793305,91,70
1626796872,79,64
1626800498,73,70
1626804096,105,52
1626807695,81,48
1626811320,80,50
1626814922,71,60
1626818495,69,74
1626822121,73,57
1626825693,57,58
1626829318,73,78
1626832893,63,57
1626836522,72,62
1626840091,69,76
1626843695,88,76
1626847323,59,80
1626850893,70,73
1626854494,79,78
1626858113,62,83
1626861718,75,86
1626865293,58,66
1626868924,82,68
1626872522,109,66
1626876097,51,98
1626879718,68,69
1626883292,64,83
1626886895,86,54
1626890494,62,54
1626894117,58,55
