DateTime,AddedIPs,RemovedIPs
1626444127,51,45
1626447714,50,52
1626451318,53,61
1626454917,53,56
1626458515,50,47
1626462120,51,60
1626465719,43,36
1626469326,47,60
1626472921,36,53
1626476518,37,40
1626480132,107,44
1626483721,50,33
1626487325,43,43
1626490930,48,42
1626494519,33,48
1626498135,43,57
1626501728,44,56
1626505332,62,56
1626508923,50,49
1626512523,51,60
1626516118,30,63
1626519725,59,66
1626523368,49,57
1626526922,28,63
1626530522,51,51
1626534121,36,68
1626537715,44,67
1626541378,33,68
1626544919,32,67
1626548599,43,77
1626552139,31,62
1626555758,33,51
1626559316,30,35
1626562924,24,64
1626566583,29,50
1626570126,27,63
1626573724,18,74
1626577325,28,61
1626580935,33,60
1626584532,33,74
1626588130,31,61
1626591719,37,74
1626595318,39,76
1626598922,19,72
1626602491,54,75
1626606118,34,59
1626609704,41,74
1626613321,36,90
1626616907,49,75
1626620521,34,85
1626624109,28,85
1626627694,44,68
1626631320,40,61
1626634912,38,54
1626638495,51,75
1626642095,41,61
1626645697,36,79
1626649287,39,56
1626652904,21,68
1626656494,47,74
1626660112,41,105
1626663698,41,88
1626667297,50,93
1626670909,47,95
1626674506,92,97
1626678094,42,89
1626681692,67,98
1626685294,58,81
1626688909,42,91
1626692493,70,95
1626696096,50,78
1626699695,59,59
1626703317,47,52
1626706920,51,73
1626710497,42,52
1626714094,291,64
1626717721,383,47
1626721320,220,56
1626724912,210,63
1626728496,183,46
1626732119,174,51
1626735721,271,57
1626739297,159,49
1626742893,156,32
1626746492,162,60
1626750069,150,44
1626753669,104,117
1626757297,102,72
1626760872,111,66
1626764496,105,93
1626768070,123,62
1626771668,114,60
1626775318,103,58
1626778870,98,62
1626782494,131,66
1626786098,90,76
1626789695,80,88
1626793240,73,57
1626796899,66,56
1626800499,66,60
1626804110,97,40
1626807713,66,39
1626811273,68,43
1626814907,47,51
1626818492,59,68
1626822091,59,42
1626825723,53,45
1626829322,48,43
1626832919,49,50
1626836526,67,54
1626840120,64,64
1626843715,75,61
1626847327,56,63
1626850923,63,60
1626854526,72,69
1626858123,46,71
1626861726,69,67
1626865322,54,57
1626868898,66,57
1626872520,76,56
1626876120,47,85
1626879727,56,48
1626883324,54,61
1626886910,76,39
1626890527,54,45
1626894119,49,47
1626897720,66,53
1626901327,56,48
1626904920,41,43
1626908527,56,55
1626912121,33,51
1626915728,49,51
1626919318,61,44
1626922926,56,60
1626926523,57,57
1626930117,58,73
1626933717,50,69
1626937321,64,77
1626940921,85,68
1626944515,72,53
1626948126,70,61
1626951720,60,45
1626955325,64,56
1626958925,72,52
1626962524,51,54
1626966118,70,57
1626969723,45,45
1626973323,46,73
1626976891,45,54
1626980540,46,56
1626984099,48,41
1626987765,40,75
1626991340,44,42
1626994924,42,46
1626998518,38,42
1627002117,56,48
1627005726,63,46
1627009341,48,55
1627012924,81,38
1627016518,67,53
1627020120,60,65
1627023720,70,76
1627027324,60,58
1627030927,63,66
1627034520,59,120
1627038125,61,47
1627041722,56,71
1627045357,38,78
1627048919,47,51
1627052532,47,68
1627056116,39,53
1627059755,45,60
1627063292,48,42
1627066914,50,55
1627070515,35,49
1627074120,50,50
1627077717,50,58
1627081318,41,41
1627084916,45,121
1627088520,35,61
1627092122,36,58
1627095726,62,55
1627099327,49,55
1627102910,48,76
1627106526,59,49
1627110135,40,55
1627113718,41,91
1627117321,55,70
1627120927,64,94
1627124523,54,78
1627128122,56,61
1627131703,55,33
1627135322,40,45
1627138891,46,54
1627142515,37,43
1627146122,65,34
1627149723,34,31
1627153322,45,39
1627156925,35,26
1627160524,46,31
1627164124,43,35
1627167720,38,28
1627171318,44,27
1627174924,54,30
1627178518,50,25
1627182125,38,27
1627185693,45,36
1627189307,43,28
1627192937,37,28
1627196535,53,41
1627200124,55,28
1627203803,41,22
1627207316,52,39
1627210906,57,39
1627214514,46,39
1627218106,42,39
1627221721,46,55
1627225315,52,51
1627232516,73,67
1627236115,52,38
1627239717,49,53
1627243333,60,44
1627246914,34,38
1627250507,32,38
1627254114,34,42
1627257723,33,33
1627261324,29,40
1627264926,43,42
1627268500,41,52
1627272120,61,43
1627275727,68,45
1627279313,57,84
1627282919,69,49
1627286517,56,64
1627290128,86,73
1627293694,52,47
1627297324,69,56
1627300904,63,70
1627304520,52,74
1627308118,51,48
1627311710,47,80
1627315320,55,52
1627318917,245,42
1627322516,143,73
1627326116,131,49
1627329707,107,65
1627333326,132,57
1627336899,99,52
1627340525,89,65
1627344124,116,57
1627347718,104,81
1627351292,111,66
1627354921,84,63
1627358524,120,57
1627362133,98,65
1627365722,90,51
1627369316,104,56
1627372926,71,59
1627376526,90,72
1627380115,84,60
1627383722,63,61
1627387315,247,74
1627390912,60,63
1627394521,70,60
1627398103,64,50
1627401723,63,41
1627405306,94,55
1627408922,63,48
1627412520,47,56
1627416121,41,65
1627419722,61,49
1627423325,140,57
1627426923,132,46
1627430495,94,43
1627434121,95,44
1627437714,79,60
1627441326,84,55
1627444927,60,60
1627448524,94,65
1627452098,65,58
1627455726,97,58
1627459315,89,59
1627462912,76,53
1627466489,67,69
1627470122,45,41
1627473724,361,70
1627477338,158,54
1627480915,142,69
1627484524,137,49
1627488168,85,60
1627491725,86,73
1627495319,67,43
1627498890,81,52
1627502525,63,47
1627506116,73,71
1627509730,57,43
1627513313,56,44
1627516915,68,54
1627520515,63,54
1627524115,42,53
1627527717,57,59
1627531315,60,60
1627534918,67,56
1627538514,97,57
1627542126,69,49
1627545721,71,78
1627549332,96,67
1627552926,74,77
1627556524,105,60
1627560126,97,60
1627563717,67,74
1627567325,50,62
1627570912,53,51
1627574490,51,55
1627578114,55,39
1627581722,62,47
1627585317,46,46
1627588919,49,43
1627592525,51,43
1627596115,56,33
1627599715,63,45
1627603323,63,44
1627606916,59,65
1627610516,64,67
1627614126,55,59
1627617717,82,84
1627621326,66,78
1627624919,84,61
1627628516,76,63
1627632127,69,67
1627635730,98,63
1627639320,88,67
1627642917,91,70
1627646520,84,60
1627650113,75,36
1627653721,78,41
1627657319,65,46
1627660916,69,60
1627664520,76,43
1627668115,66,38
1627671723,63,39
1627675323,71,36
1627678914,96,44
1627682514,69,56
1627686114,60,53
1627689716,45,55
1627693320,56,34
1627696917,71,39
1627700524,64,67
1627704116,60,38
1627707713,56,58
1627711322,62,62
1627714914,63,41
1627718514,50,41
1627722122,60,60
1627725721,59,53
1627729325,57,68
1627732913,53,53
1627736512,71,45
1627740116,51,53
1627743726,61,50
1627747322,58,40
1627750913,45,53
1627754520,54,44
1627758116,50,37
1627761715,40,41
1627765315,42,38
1627768906,36,33
1627772514,46,31
1627776122,42,44
1627779725,42,39
1627783321,54,52
1627786921,48,53
1627790516,36,48
1627794124,50,47
1627797724,50,46
1627801310,60,49
1627804909,66,43
1627808524,49,49
1627812118,51,56
1627815697,46,53
1627819323,47,51
1627822917,50,51
1627826505,58,40
1627830125,41,51
1627833714,48,50
1627837322,41,33
1627840920,46,60
1627844494,44,58
1627848115,58,58
1627851724,60,41
1627855317,33,27
1627858910,56,42
1627862526,47,44
1627866119,40,33
1627869726,46,45
1627873294,58,57
1627876919,52,62
1627880514,60,92
1627884120,85,60
1627887728,69,77
1627891322,84,61
1627894899,92,96
1627898519,69,76
1627902099,56,63
1627905726,67,96
1627909297,64,56
1627912919,47,78
1627916495,55,67
1627920124,47,54
1627923720,37,85
1627927321,41,65
1627930901,45,69
1627934521,53,56
1627938096,55,62
1627941721,50,50
1627945295,29,62
1627948922,103,72
1627952516,42,96
1627956123,58,74
1627959717,33,77
1627963303,43,115
1627966921,50,68
1627970498,62,72
1627974116,66,92
1627977717,61,71
1627981323,55,86
1627984898,88,80
1627988499,71,80
1627992119,54,245
1627995695,54,65
1627999321,81,87
1628002920,57,68
1628006515,62,79
1628010117,59,102
1628013723,92,92
1628017319,64,103
1628020909,49,65
1628024522,51,62
1628028097,52,73
1628031721,43,55
1628035289,45,67
1628038920,35,80
1628042490,49,85
1628046108,54,70
1628049709,53,86
1628053322,50,96
1628056896,77,86
1628060518,65,102
1628064119,88,92
1628067720,97,108
1628071321,66,79
1628074901,56,62
1628078519,86,115
1628082103,52,80
1628085722,61,117
1628089292,38,90
1628092921,61,79
1628096495,52,75
1628100120,65,49
1628103703,57,53
1628107313,60,52
1628110922,58,56
1628114493,52,42
1628118098,89,48
1628121721,59,55
1628125299,51,80
1628128918,74,58
1628132497,64,66
1628136103,65,60
1628139688,105,70
1628143320,68,86
1628146920,74,71
1628150524,88,83
1628154119,74,104
1628157696,74,72
1628161317,56,85
