DateTime,AddedIPs,RemovedIPs
1619834926,211199,0
1619844602,0,6656
1619875003,1024,1024
1619885855,256,256
1619900516,256,256
1619931003,2048,9984
1619947857,0,75776
1619968537,768,768
1619973039,256,256
1619982303,256,256
1619987444,256,256
1619994648,256,256
1620047777,1280,1280
1620052236,256,256
1620059437,256,256
1620064843,256,256
1620065957,256,256
1620069004,512,512
1620080432,256,256
1620087939,256,256
1620103803,256,6144
1620141303,1024,1024
1620153042,256,256
1620154843,256,256
1620190203,2304,4096
1620224103,1024,1024
1620225036,256,256
1620226837,256,256
1620239443,256,256
1620241244,256,256
1620260643,256,256
1620276602,768,7424
1620306926,768,768
1620310581,1024,4096
1620313239,256,256
1620337554,1024,0
1620360961,256,256
1620363003,2048,3840
1620371417,0,5120
1620396904,512,512
1620397838,256,256
1620418804,256,256
1620432603,34816,0
1620433803,256,256
1620449402,256,5120
1620486928,1024,1024
1620533755,256,256
1620534656,20736,0
1620535803,2048,256
1620573304,512,512
1620574237,256,256
1620577838,256,256
1620622203,512,1024
1620655864,512,512
1620674207,256,256
1620708603,0,8960
1620738902,1280,1280
1620743435,256,256
1620750640,256,256
1620754241,8192,65536
1620757843,256,256
1620759903,256,256
1620764225,256,256
1620795003,0,6912
1620812756,768,0
1620832502,1024,1024
1620837036,256,256
1620843303,256,256
1620844240,512,512
1620851445,256,256
1620882469,2048,5120
1620907902,768,768
1620923442,256,256
1620952203,256,256
1620968103,0,4096
1621005431,512,512
1621016388,256,256
1621023787,256,256
1621040460,1024,0
1621054203,0,6400
1621081144,256,256
1621102846,256,256
1621118103,256,256
1621125066,256,256
1621140603,9728,0
1621178107,512,512
1621182643,256,256
1621185770,256,256
1621189148,256,256
1621203847,256,256
1621211194,256,256
1621227003,17664,0
1621264503,768,768
1621269042,256,256
1621290193,256,256
1621313402,15104,4096
1621335661,0,2048
1621350903,768,768
1621351836,256,256
1621361843,256,256
1621399803,39168,7168
1621430103,512,512
1621449043,512,512
1621462664,256,256
1621470655,256,256
1621473303,0,1280
1621486203,8704,5888
1621516525,768,768
1621542602,256,256
1621570513,256,256
1621572603,0,3328
1621606551,768,768
1621656903,256,256
1621659003,0,4352
1621692904,768,768
1621715003,256,256
1621746056,18688,0
1621780234,256,256
1621786643,256,256
1621801352,256,256
