DateTime,AddedIPs,RemovedIPs
1627876934,4,0
1627877534,1,0
1627878134,3,0
1627878781,5,0
1627879934,2,1
1627880534,5,0
1627881734,1,0
1627882381,2,0
1627883534,1,0
1627884734,1,0
1627885333,2,0
1627885981,2,0
1627887134,4,0
1627887734,1,0
1627888334,2,0
1627888933,1,0
1627889581,4,0
1627890133,1,1
1627893181,1,0
1627894935,2,0
1627895534,2,0
1627896134,2,0
1627897334,3,0
1627897935,1,1
1627898535,4,0
1627899135,1,0
1627899735,2,0
1627900381,2,0
1627900935,4,0
1627902134,2,0
1627902734,1,0
1627903981,2,0
1627905134,1,0
1627905734,1,0
1627906334,2,0
1627906933,1,0
1627909934,1,0
1627910534,1,0
1627911181,1,0
1627912934,2,1
1627914135,1,0
1627915934,1,0
1627916535,5,0
1627917735,5,0
1627918381,2,0
1627918935,3,0
1627919535,10,0
1627920136,15,0
1627920736,10,0
1627921981,6,0
1627922537,14,0
1627923136,2,0
1627923737,1,0
1627924337,7,0
1627924937,36,0
1627926136,5,0
1627926737,3,0
1627927337,6,0
1627927937,16,0
1627928537,10,0
1627929182,2,0
1627929737,1,0
1627930337,1,0
1627931537,23,0
1627932137,3,0
1627932782,2,0
1627933338,11,0
1627933938,10,0
1627935138,4,1
1627936381,18,0
1627936937,5,0
1627938136,2,0
1627938736,30,0
1627939337,2,0
1627939981,2,0
1627941737,9,0
1627943581,1,0
1627944136,12,0
1627944736,5,0
1627945336,3,0
1627945936,13,0
1627946536,14,0
1627947181,12,0
1627947736,4,0
1627948337,2,0
1627948937,7,0
1627949537,5,0
1627950136,5,0
1627950781,18,0
1627951336,10,0
1627951936,9,0
1627953136,0,1
1627953736,4,0
1627954381,4,0
1627954936,8,0
1627955536,1,1
1627956136,8,2
1627956735,2,0
1627957335,6,0
1627957981,8,0
1627959135,3,1
1627959735,2,0
1627961582,10,0
1627962736,7,1
1627963936,9,0
1627964536,1,0
1627965736,5,1
1627966336,2,0
1627966936,3,0
1627968781,10,1
1627969336,3,0
1627969936,5,0
1627970536,4,0
1627971136,7,0
1627972381,5,0
1627972936,3,0
1627974737,9,2
1627975336,5,0
1627975982,8,0
1627976536,5,0
1627977736,0,1
1627978336,6,0
1627978936,1,0
1627979582,6,0
1627980737,3,1
1627981337,4,0
1627981936,6,0
1627982536,4,0
1627983181,4,0
1627983736,2,0
1627984336,2,0
1627985535,3,0
1627986135,1,0
1627986781,4,0
1627987335,2,0
1627988534,5,0
1627989134,4,0
1627989734,15,1
1627990381,4,0
1627990934,1,0
1627991535,1,0
1627992135,2,0
1627992735,2,0
1627993335,15,0
1627993981,5,0
1627994535,2,0
1627995134,1,0
1627995734,3,0
1627996334,10,0
1627996935,14,0
1627998136,5,0
1627998737,7,0
1627999936,42,0
1628000537,2,0
1628001737,5,0
1628002336,27,0
1628002936,15,0
1628003536,5,0
1628004135,7,0
1628004782,16,0
1628005337,24,0
1628005937,17,0
1628006537,3,0
1628007137,20,0
1628007736,2,0
1628009536,29,0
1628010136,6,0
1628010736,6,1
1628011336,11,0
1628011981,6,0
1628013136,14,0
1628013738,31,0
1628014336,2,0
1628014937,11,0
1628015582,11,0
1628016137,5,0
1628016737,3,0
1628018536,1,0
1628019181,2,0
1628019735,1,0
1628020936,1,0
1628021535,18,0
1628022135,1,0
1628023336,9,0
1628023937,2,0
1628024536,7,0
1628025137,36,1
1628025736,3,0
1628026381,3,0
1628026936,4,0
1628028136,1,0
1628028736,12,0
1628029336,6,0
1628029981,10,0
1628030536,3,0
1628031136,10,0
1628031735,5,0
1628032336,9,0
1628032936,8,0
