DateTime,AddedIPs,RemovedIPs
1627259783,56,46
1627261688,66,48
1627263852,65,52
1627265783,67,69
1627268287,70,67
1627270096,51,65
1627272270,60,62
1627275027,124,52
1627276827,76,65
1627278746,76,44
1627280659,63,59
1627282567,79,59
1627284497,77,48
1627286483,105,75
1627288569,84,72
1627290629,81,68
1627292652,75,62
1627294961,97,3477
1627296968,121,93
1627299127,1455,0
1627301298,102,80
1627303225,108,105
1627305131,95,73
1627307048,74,75
1627308977,66,111
1627310893,40,61
1627312809,39,58
1627314727,62,97
1627316658,37,60
1627318569,97,71
1627320728,252,70
1627322654,145,30
1627324585,112,43
1627326488,87,34
1627328649,110,38
1627330814,111,33
1627332737,100,32
1627334651,127,23
1627336579,99,45
1627338488,79,33
1627340438,1138,0
1627342362,71,53
1627344499,69,60
1627346649,77,82
1627348569,67,73
1627350497,87,56
1627352404,66,78
1627354325,92,56
1627356247,74,50
1627358429,103,87
1627360333,63,49
1627362255,82,52
1627364177,83,56
1627366091,74,34
1627368006,49,24
1627369935,80,34
1627371852,86,31
1627374013,101,37
1627376169,96,23
1627378333,82,41
1627380261,58,3873
1627382184,107,110
1627384091,1884,0
1627386254,111,77
1627388168,98,90
1627390102,74,57
1627392011,90,88
1627393933,94,71
1627395859,81,58
1627397774,105,94
1627399931,97,82
1627402101,129,78
1627404247,106,82
1627406177,112,82
1627408106,104,73
1627410247,81,84
1627412166,103,78
1627414095,60,79
1627416015,58,118
1627417940,55,75
1627419860,54,76
1627421778,53,102
1627423685,117,78
1627425846,200,84
1627427767,1633,0
1627429697,76,43
1627431618,78,77
1627433525,110,41
1627435459,63,60
1627437365,96,74
1627439288,61,65
1627441217,86,62
1627443129,70,56
1627445055,78,52
1627446978,72,67
1627448896,54,58
1627451050,90,78
1627452968,73,74
1627454894,66,64
1627457047,108,86
1627458966,84,103
1627460896,74,55
1627462815,97,95
1627464726,54,82
1627466670,36,3985
1627468567,67,98
1627470727,1899,0
1627472646,182,85
1627474576,208,88
1627476486,120,55
1627478651,118,81
1627480569,120,84
1627482488,96,66
1627484427,114,93
1627486332,78,71
1627488266,80,90
1627490184,132,81
1627492098,87,84
1627494017,101,95
1627495939,103,79
1627497847,70,55
1627500010,86,118
1627501926,59,93
1627504103,113,105
1627506020,97,109
1627507927,106,68
1627509866,67,65
1627511768,94,89
1627513929,1645,0
1627515845,72,65
1627517780,81,67
1627519686,80,45
1627521849,71,65
1627524026,70,86
1627525938,54,55
1627527863,60,69
1627529781,54,63
1627531695,50,70
1627533607,68,55
1627535542,68,78
1627537450,84,74
1627539625,135,88
1627541540,86,58
1627543454,64,75
1627545369,75,101
1627547293,43,76
1627549212,106,97
1627551142,70,66
1627553060,85,4064
1627554985,79,79
1627556886,1913,0
1627559055,109,103
1627560978,91,102
1627562892,84,117
1627564807,93,59
1627566741,112,92
1627568646,82,73
1627570571,135,86
1627572497,90,80
1627574424,93,90
1627576325,89,70
1627578273,79,63
1627580170,112,101
1627582331,120,87
1627584247,86,68
1627586183,123,95
1627588090,86,81
1627590255,112,100
1627592170,119,95
1627594102,93,60
1627596021,93,56
1627597942,104,66
1627599856,1630,0
1627601786,102,92
1627603927,87,79
1627605862,80,92
1627607770,66,60
1627609701,71,69
1627611613,77,57
1627613543,65,71
1627615451,57,74
1627617376,82,75
1627619292,58,54
1627621225,79,66
1627623129,66,61
1627625076,76,65
1627626973,84,67
1627629139,96,81
1627631046,66,68
1627632988,108,85
1627635154,114,86
1627637058,92,59
1627638977,83,58
1627640893,67,4020
1627643058,1861,0
1627644983,142,100
1627646892,88,59
1627649051,120,85
1627650980,116,88
1627653129,119,73
1627655049,103,57
1627656978,116,80
1627658887,96,63
1627661057,114,75
1627662982,183,81
1627664895,77,58
1627667051,153,92
1627669211,156,133
1627671126,128,82
1627673057,101,73
1627674967,90,82
1627677129,106,56
1627679300,110,111
1627681216,107,103
1627683130,65,67
1627685048,95,50
1627686978,1498,0
1627688888,71,49
1627690807,58,52
1627692736,91,69
1627694651,57,48
1627696567,90,53
1627698496,53,46
1627700414,80,59
1627702340,62,51
1627704260,77,55
1627706182,95,68
1627708085,75,48
1627710253,93,79
1627712180,68,101
1627714087,71,67
1627716250,67,88
1627718171,72,69
1627720097,86,34
1627722018,85,111
1627724171,88,86
1627726340,66,4127
1627728250,100,104
1627730169,2058,0
1627732097,106,87
1627734015,107,84
1627735940,85,89
1627737849,77,43
1627739770,97,80
1627741700,87,71
1627743616,93,69
1627745530,88,66
1627747469,62,70
1627749372,153,86
1627751530,134,91
1627753449,113,82
1627755376,123,94
1627757299,84,77
1627759212,111,107
1627761140,96,81
1627763050,120,76
1627764969,99,141
1627766900,94,104
1627768822,96,88
1627770973,80,115
1627773132,1701,8
1627775046,48,69
1627776981,47,60
1627778887,102,69
1627781050,127,49
1627782971,96,60
1627784896,42,58
1627787058,78,55
1627789078,62,63
1627791143,63,59
1627793048,82,66
1627795208,78,80
1627797129,80,77
1627799058,51,77
1627800971,57,70
1627802896,76,83
1627804822,71,80
1627806725,61,81
1627808671,75,111
1627810568,65,106
1627812733,70,4293
1627814645,96,98
1627816581,1948,0
1627818487,100,106
1627820655,103,66
1627822567,99,99
1627824499,101,73
1627826662,125,102
1627828579,97,76
1627830730,107,73
1627832645,91,83
1627834577,96,89
1627836488,100,84
1627838650,88,88
1627840567,104,83
1627842488,74,78
1627844657,79,68
1627846578,102,99
1627848505,104,68
1627850647,93,90
1627852567,76,76
1627854494,78,82
1627856649,86,80
1627858570,81,96
1627860494,1637,0
1627862419,97,64
1627864328,60,48
1627866264,68,71
1627868167,79,83
1627870094,52,62
1627872248,78,58
1627874170,62,65
1627876096,56,69
1627878249,94,68
1627880178,71,84
1627882098,75,60
1627884258,92,79
1627886171,83,68
1627888096,66,60
1627890008,58,77
1627891927,89,72
1627893855,62,70
1627895766,77,68
1627897928,75,91
1627899856,79,4150
1627901765,117,115
1627903694,2028,0
1627905613,128,71
1627907526,95,97
1627909470,90,100
1627911368,104,120
1627913531,87,81
1627915446,86,74
1627917376,92,77
1627919284,95,82
1627921460,106,91
1627923366,108,110
1627925296,124,74
1627927211,116,95
1627929371,79,70
1627931547,70,76
1627933446,77,83
1627935377,89,85
1627937286,76,110
1627939449,108,65
1627941370,83,89
1627943295,62,79
1627945223,1620,0
1627947370,53,51
1627949526,71,45
1627951448,47,104
1627953378,56,81
1627955285,52,77
1627957447,79,69
1627959367,65,72
1627961298,67,55
1627963214,71,83
1627965127,57,70
1627967064,50,72
1627968974,95,89
1627971128,68,66
1627973047,55,62
1627974976,81,69
1627976887,55,79
1627979047,74,67
1627980968,67,86
1627982893,74,59
1627984817,57,4004
1627986727,78,118
1627988663,1956,0
1627990568,116,131
1627992729,77,102
1627994645,103,69
1627996579,115,75
1627998486,120,85
1628000648,82,71
1628002566,91,74
1628004497,92,70
1628006413,104,93
1628008326,99,82
1628010265,98,82
1628012167,114,90
1628014328,96,85
1628016248,116,77
1628018177,112,78
1628020089,93,77
1628022247,77,93
1628024169,99,67
1628026094,82,73
1628028022,88,82
1628029925,104,110
1628031864,1652,0
1628033768,97,68
1628035926,78,81
1628037848,78,54
1628039779,68,58
1628041686,51,65
1628043849,73,59
1628045770,55,61
1628047698,56,61
1628049634,88,76
1628051527,74,71
1628053469,72,68
1628055366,67,78
1628057533,75,77
1628059445,71,69
1628061381,89,66
1628063286,60,70
1628065450,96,85
1628067365,91,57
1628069542,58,78
1628071464,74,3775
1628073376,125,95
1628075290,1671,0
1628077221,104,64
1628079130,71,51
1628081052,98,57
1628082976,88,69
1628085135,86,81
1628087058,86,69
1628088972,100,62
1628090885,92,73
1628092830,101,83
1628094734,85,76
1628096913,77,72
1628099050,96,85
1628100970,110,83
1628102899,106,68
1628104807,93,72
1628106727,73,77
1628108656,84,71
1628110568,113,75
1628112486,78,67
1628114436,92,51
1628116325,68,76
1628118256,1392,0
1628120179,75,50
1628122090,59,37
1628124248,71,45
1628126168,57,52
1628128098,74,54
1628130010,69,67
1628131937,40,41
1628133849,70,49
1628135776,97,81
1628137687,55,60
1628139859,67,63
1628141771,55,84
1628143957,63,71
1628145849,72,64
1628147777,63,70
1628149688,71,56
1628151851,102,77
1628153778,71,69
1628155699,75,62
1628157864,84,4043
1628159788,129,123
1628161691,1961,0
1628163849,140,104
1628165767,94,79
1628167705,96,76
1628169847,116,73
1628171767,97,84
1628173694,70,58
1628175612,77,66
1628177526,100,73
1628179466,46,81
1628181368,124,89
1628183295,76,80
1628185213,89,74
1628187128,70,62
1628189059,84,74
1628190967,115,98
1628192916,111,74
1628194814,89,99
1628196737,118,78
1628198646,94,64
1628200823,88,90
1628202736,93,98
1628204898,1560,0
1628206808,49,69
1628208728,71,62
1628210660,51,62
1628212568,82,60
1628214500,44,61
1628216657,66,54
1628218567,69,50
1628220489,74,53
1628222429,60,77
1628224326,73,65
1628226257,45,69
1628228178,70,62
1628230330,64,59
1628232260,77,64
1628234171,74,90
1628236088,56,66
1628238016,65,83
1628239926,70,72
1628241850,47,56
1628243776,82,66
