DateTime,Entries,UniqueIPs
1627259783,8029,8029
1627261688,8047,8047
1627263852,8060,8060
1627265783,8058,8058
1627268287,8061,8061
1627270096,8047,8047
1627272270,8045,8045
1627275027,8117,8117
1627276827,8128,8128
1627278746,8160,8160
1627280659,8164,8164
1627282567,8184,8184
1627284497,8213,8213
1627286483,8243,8243
1627288569,8255,8255
1627290629,8268,8268
1627292652,8281,8281
1627294961,4901,4901
1627296968,4929,4929
1627299127,6384,6384
1627301298,6406,6406
1627303225,6409,6409
1627305131,6431,6431
1627307048,6430,6430
1627308977,6385,6385
1627310893,6364,6364
1627312809,6345,6345
1627314727,6310,6310
1627316658,6287,6287
1627318569,6313,6313
1627320728,6495,6495
1627322654,6610,6610
1627324585,6679,6679
1627326488,6732,6732
1627328649,6804,6804
1627330814,6882,6882
1627332737,6950,6950
1627334651,7054,7054
1627336579,7108,7108
1627338488,7154,7154
1627340438,8292,8292
1627342362,8310,8310
1627344499,8319,8319
1627346649,8314,8314
1627348569,8308,8308
1627350497,8339,8339
1627352404,8327,8327
1627354325,8363,8363
1627356247,8387,8387
1627358429,8403,8403
1627360333,8417,8417
1627362255,8447,8447
1627364177,8474,8474
1627366091,8514,8514
1627368006,8539,8539
1627369935,8585,8585
1627371852,8640,8640
1627374013,8704,8704
1627376169,8777,8777
1627378333,8818,8818
1627380261,5003,5003
1627382184,5000,5000
1627384091,6884,6884
1627386254,6918,6918
1627388168,6926,6926
1627390102,6943,6943
1627392011,6945,6945
1627393933,6968,6968
1627395859,6991,6991
1627397774,7002,7002
1627399931,7017,7017
1627402101,7068,7068
1627404247,7092,7092
1627406177,7122,7122
1627408106,7153,7153
1627410247,7150,7150
1627412166,7175,7175
1627414095,7156,7156
1627416015,7096,7096
1627417940,7076,7076
1627419860,7054,7054
1627421778,7005,7005
1627423685,7044,7044
1627425846,7160,7160
1627427767,8793,8793
1627429697,8826,8826
1627431618,8827,8827
1627433525,8896,8896
1627435459,8899,8899
1627437365,8921,8921
1627439288,8917,8917
1627441217,8941,8941
1627443129,8955,8955
1627445055,8981,8981
1627446978,8986,8986
1627448896,8982,8982
1627451050,8994,8994
1627452968,8993,8993
1627454894,8995,8995
1627457047,9017,9017
1627458966,8998,8998
1627460896,9017,9017
1627462815,9019,9019
1627464726,8991,8991
1627466670,5042,5042
1627468567,5011,5011
1627470727,6910,6910
1627472646,7007,7007
1627474576,7127,7127
1627476486,7192,7192
1627478651,7229,7229
1627480569,7265,7265
1627482488,7295,7295
1627484427,7316,7316
1627486332,7323,7323
1627488266,7313,7313
1627490184,7364,7364
1627492098,7367,7367
1627494017,7373,7373
1627495939,7397,7397
1627497847,7412,7412
1627500010,7380,7380
1627501926,7346,7346
1627504103,7354,7354
1627506020,7342,7342
1627507927,7380,7380
1627509866,7382,7382
1627511768,7387,7387
1627513929,9032,9032
1627515845,9039,9039
1627517780,9053,9053
1627519686,9088,9088
1627521849,9094,9094
1627524026,9078,9078
1627525938,9077,9077
1627527863,9068,9068
1627529781,9059,9059
1627531695,9039,9039
1627533607,9052,9052
1627535542,9042,9042
1627537450,9052,9052
1627539625,9099,9099
1627541540,9127,9127
1627543454,9116,9116
1627545369,9090,9090
1627547293,9057,9057
1627549212,9066,9066
1627551142,9070,9070
1627553060,5091,5091
1627554985,5091,5091
1627556886,7004,7004
1627559055,7010,7010
1627560978,6999,6999
1627562892,6966,6966
1627564807,7000,7000
1627566741,7020,7020
1627568646,7029,7029
1627570571,7078,7078
1627572497,7088,7088
1627574424,7091,7091
1627576325,7110,7110
1627578273,7126,7126
1627580170,7137,7137
1627582331,7170,7170
1627584247,7188,7188
1627586183,7216,7216
1627588090,7221,7221
1627590255,7233,7233
1627592170,7257,7257
1627594102,7290,7290
1627596021,7327,7327
1627597942,7365,7365
1627599856,8995,8995
1627601786,9005,9005
1627603927,9013,9013
