DateTime,AddedIPs,RemovedIPs
1620902425,4,2
1620917289,7,2
1620931942,4,3
1620946566,12,0
1620961229,5,1
1620975847,8,3
1620990745,7,2
1621005622,4,1
1621020263,4,1
1621035131,12,2
1621049784,9,1
1621064406,5,3
1621079046,8,5
1621093701,9,2
1621108343,5,3
1621122982,12,3
1621137628,11,2
1621152249,6,1
1621166904,9,3
1621181544,5,6
1621196407,6,4
1621211049,1,1
1621225704,9,3
1621240326,8,2
1621254969,3,1
1621269607,10,0
1621284247,10,4
1621298883,17,2
1621313538,4,2
1621328181,3,2
1621342824,3,3
1621357692,6,3
1621372345,14,2
1621386981,3,2
1621401622,16,1
1621416248,11,4
1621430886,4,0
1621445547,8,3
1621460166,13,2
1621474824,15,2
1621489689,4,5
1621504346,4,2
1621518971,6,3
1621533612,8,3
1621548264,8,3
1621563128,3,5
1621577797,9,5
1621592667,6,3
1621607305,4,1
1621621927,13,2
1621636814,12,3
1621651691,4,1
1621666346,10,1
1621680989,5,3
1621695853,2,2
1621710726,9,1
1621725626,7,0
1621740263,4,2
1621755131,5,3
1621770012,3,1
1621784647,2,2
1621799529,7,7
1621814419,7,1
1621829290,5,2
1621844170,6,1
1621858825,24,4
1621873450,11,1
1621888106,6,8
1621902724,3,7
1621917390,5,7
1621932025,10,11
1621946890,8,5
1621961768,11,119
1621976447,10,9
1621991293,13,9
1622005951,5,7
1622020583,4,4
1622035453,14,11
1622050106,9,5
1622064972,8,10
1622079607,7,8
1622094245,10,6
1622108886,7,6
1622123542,12,7
1622138170,12,11
1622153049,10,4
1622167709,13,3
1622182331,6,9
1622196970,15,3
1622211624,5,16
1622226254,12,6
1622240886,7,4
1622255528,2,7
1622270192,4,6
1622284826,3,8
1622299446,10,8
1622314332,5,7
1622329335,8,7
1622344104,12,5
1622358993,7,7
1622373848,5,5
1622388507,11,6
1622403124,6,5
1622417785,8,5
1622432412,3,3
1622447048,12,5
1622461686,8,2
1622476330,6,6
1622490983,10,11
1622505616,10,8
1622520247,3,3
1622535133,8,6
1622549765,2,7
1622564429,4,7
1622579045,0,6
1622593946,11,11
1622608572,6,8
1622623459,3,5
1622638332,12,4
1622653292,9,10
1622667869,20,11
1622682485,5,7
1622697369,6,6
1622712007,12,5
1622726656,7,9
1622741530,6,4
1622756171,7,8
1622770811,2,5
1622785448,7,4
1622800331,2,10
1622814981,3,3
1622829621,9,5
1622844266,7,6
1622858902,15,10
1622873789,7,6
1622888649,4,9
1622903532,6,4
1622918425,8,4
1622933069,5,3
1622947929,6,4
1622962820,1,4
1622977461,2,7
1622992090,12,10
1623006734,17,12
1623021389,8,8
1623036247,19,4
1623051147,15,4
1623066027,6,8
1623080891,5,5
1623095545,8,8
1623110170,9,10
1623124807,2,8
1623139450,7,4
1623154114,12,7
1623168987,10,2
1623183609,11,13
1623198251,10,5
1623213129,4,4
1623228028,12,6
1623242648,6,4
1623257530,11,10
1623272184,9,7
1623286820,13,5
1623301468,20,5
1623316093,9,4
1623330746,10,4
1623345391,10,8
1623360251,10,5
1623375145,6,6
1623390012,11,4
1623404666,6,5
1623419303,11,9
1623433941,11,5
1623448586,11,7
1623463449,7,9
1623478333,3,5
1623493227,11,11
1623507863,5,9
1623522728,13,6
1623537627,4,7
1623552251,10,7
1623567132,6,4
1623581775,4,9
1623596438,12,9
1623611065,7,6
1623625933,11,5
1623640812,8,8
1623655692,13,6
1623670326,14,8
1623684987,9,4
1623699849,15,8
1623714502,13,7
1623729145,8,3
1623743766,10,5
1623758655,2,3
1623773529,6,5
1623788485,10,10
1623803066,11,8
1623817929,8,11
1623832827,12,5
1623847462,6,5
1623862083,3,15
1623876741,12,8
1623891663,14,9
1623906506,11,2
1623921126,5,2
1623935768,9,7
1623950405,10,4
1623965289,7,9
1623979944,7,3
1623994822,12,4
1624009456,11,0
1624024090,12,5
1624038729,9,21
1624053381,5,20
1624068253,12,7
1624082888,11,10
1624097780,12,3
1624112651,8,5
1624127285,7,5
1624141941,12,7
1624156580,8,15
1624171217,4,10
1624185848,4,4
1624200728,3,8
1624215368,15,6
1624230021,21,12
1624244645,10,6
1624259531,8,13
1624274407,7,5
1624289060,8,7
1624303931,7,5
1624318567,1,11
1624333219,7,4
1624347846,7,6
1624362498,5,7
1624377368,14,5
1624392016,9,6
1624406646,11,4
1624421286,7,7
1624435938,4,0
1624450579,8,5
1624465221,8,2
1624479866,8,1
1624494733,3,5
1624509370,1,2
1624524246,7,3
1624539128,5,2
1624553768,6,0
1624568419,9,3
1624583049,4,4
1624597699,6,3
1624612332,13,2
1624627206,8,4
1624641848,8,5
1624656485,5,3
1624671139,8,3
1624685770,12,2
1624700417,7,3
1624715045,7,3
1624729928,3,0
1624744577,11,1
1624759228,8,4
1624773856,3,1
1624788728,1,5
1624803380,5,1
