DateTime,AddedIPs,RemovedIPs
1627903934,6,26
1627905134,15,12
1627905734,4,0
1627906334,4,8
1627906933,3,0
1627908134,9,54
1627908735,15,0
1627909336,2,37
1627909934,7,23
1627910534,7,0
1627911135,4,39
1627911735,7,12
1627912934,8,40
1627913535,5,26
1627914135,2,0
1627914734,7,30
1627915334,1,21
1627915934,9,9
1627916535,17,12
1627917135,1,21
1627917735,9,30
1627918336,17,3
1627918935,7,0
1627919535,12,16
1627920136,20,0
1627920736,17,9
1627921336,2,18
1627921936,14,0
1627922537,18,0
1627923136,6,14
1627923737,4,0
1627924337,11,23
1627924937,44,25
1627926136,11,20
1627926737,5,22
1627927337,14,12
1627927937,24,0
1627928537,15,14
1627929737,8,1
1627930337,3,9
1627931537,26,60
1627932137,4,19
1627932739,5,0
1627933338,18,8
1627933938,17,21
1627934537,2,0
1627935138,5,5
1627936338,28,18
1627936937,9,0
1627938136,36,25
1627938736,11,0
1627939337,8,17
1627939938,4,0
1627940538,1,29
1627941737,11,6
1627942936,6,8
1627943536,24,1
1627944736,10,15
1627945336,6,3
1627945936,29,25
1627946536,32,65
1627947137,24,7
1627947736,10,0
1627948337,4,7
1627948937,16,3
1627949537,16,42
1627950136,16,0
1627950737,42,12
1627951336,13,0
1627951936,10,5
1627952537,5,34
1627953736,11,9
1627954336,7,10
1627954936,19,9
1627955536,4,0
1627956136,16,29
1627956735,9,17
1627957335,14,36
1627957936,10,0
1627959135,6,7
1627959735,4,18
1627960336,3,33
1627961536,25,0
1627962736,11,7
1627963936,14,12
1627964536,3,7
1627965736,10,15
1627966336,9,17
1627966936,8,0
1627968136,11,29
1627968737,8,8
1627969336,8,0
1627969936,6,8
1627970536,7,0
1627971136,12,17
1627972339,8,9
1627972936,8,0
1627974136,11,12
1627974737,14,0
1627975336,14,4
1627975937,13,12
1627976536,8,0
1627977137,5,11
1627978336,11,3
1627978936,2,72
1627979536,14,0
1627980737,6,4
1627981337,8,17
1627981936,17,0
1627982536,17,3
1627983137,10,0
1627983736,9,8
1627984336,4,8
1627985535,8,22
1627986135,2,18
1627986736,7,35
1627987335,5,0
1627988534,35,9
1627989134,28,17
1627989734,41,18
1627990335,9,30
1627990934,6,3
1627991535,4,0
1627992135,9,17
1627992735,10,16
1627993335,26,0
1627993935,8,14
1627994535,4,16
1627995134,5,7
1627995734,17,21
1627996334,18,0
1627996935,36,21
1627998136,12,13
1627998737,11,0
1627999936,59,45
1628000537,3,31
1628001136,8,62
1628001737,12,0
1628002336,27,0
1628002936,27,6
1628003536,22,0
1628004135,10,12
1628004737,19,9
1628005337,41,17
1628005937,32,13
1628006537,13,0
1628007137,75,10
1628007736,7,22
1628008937,29,29
1628009536,15,0
1628010136,23,21
1628010736,11,33
1628011336,17,0
1628011936,10,47
1628012536,3,0
1628013136,23,9
1628013738,46,27
1628014336,4,0
1628014937,23,19
1628015537,22,0
1628016137,10,0
1628016737,3,41
1628017336,0,66
1628017937,1,0
1628018536,3,25
1628019136,3,0
1628019735,2,7
1628020936,2,30
1628021535,26,3
1628022135,1,0
1628022736,1,3
1628023336,22,6
1628023937,4,15
1628024536,12,0
1628025137,48,7
1628025736,12,9
1628026337,7,4
1628026936,6,0
1628027536,1,0
1628028136,2,13
1628028736,27,0
1628029336,16,0
1628029936,21,4
1628030536,11,13
1628031136,24,12
1628031735,13,0
1628032336,12,0
1628032936,19,36
1628033536,2,0
1628034136,12,0
1628034736,2,0
1628035336,5,0
1628035937,7,0
1628036536,9,0
1628037137,4,0
1628038336,8,0
1628038937,12,0
1628039537,16,0
1628040136,9,74
1628041337,8,0
1628041937,6,0
1628042537,4,0
1628043137,10,0
1628043736,2,0
1628044337,9,0
1628044937,7,0
1628045536,18,0
1628046137,12,0
1628046736,7,22
1628047937,6,7
1628048536,16,7
1628049137,7,0
1628049737,4,6
1628050336,9,32
1628051537,9,14
1628052737,26,4
1628053337,3,20
1628053937,10,0
1628054537,13,6
1628055137,14,4
1628056336,13,35
1628056937,1,0
1628057537,1,0
1628058137,3,13
1628058738,5,0
1628059337,11,5
1628059937,9,23
1628060537,10,0
1628061137,8,5
1628062337,8,17
1628062937,4,10
1628063536,6,8
1628064137,11,8
1628064736,8,39
1628065337,4,0
1628065936,9,26
1628066537,5,0
1628067137,0,14
1628067737,7,0
1628068337,17,42
1628068941,21,41
1628069536,8,0
1628070737,20,37
1628071336,5,0
1628071936,4,9
1628072535,1,9
1628073136,12,5
1628073736,10,19
1628074935,23,29
1628075535,11,0
1628076135,14,12
1628077335,8,9
1628077935,23,0
1628078534,14,53
1628079134,9,0
1628079734,9,12
1628080335,11,47
1628080935,1,34
1628081535,11,0
1628082136,8,42
1628083336,9,6
1628083935,6,0
1628085135,21,10
1628085735,6,46
1628086336,17,0
1628086935,3,0
1628087536,22,19
1628088136,8,14
1628088735,3,34
1628089335,18,0
1628089935,11,5
1628090535,18,6
1628091137,62,0
1628091736,14,23
1628092335,3,0
1628092936,6,7
1628093536,12,35
1628094135,16,0
1628094735,12,18
1628095335,5,27
1628095935,10,0
1628096535,7,21
1628097134,11,52
1628097734,11,0
1628098335,15,0
1628098935,6,6
1628099535,8,0
1628100736,13,10
1628101336,2,26
1628101935,4,0
1628102535,12,0
1628103134,4,20
1628103736,9,0
1628104934,11,10
1628105535,4,1
1628106735,7,10
1628107335,9,0
1628107935,13,6
1628108536,33,5
1628109136,17,38
1628109736,8,12
1628110336,16,17
1628110936,13,17
1628111535,12,13
1628112135,4,11
1628112735,4,11
1628113335,10,37
1628113935,5,0
1628114535,3,0
1628115136,10,5
1628115736,10,0
1628116336,7,8
1628116936,23,14
1628118136,11,19
1628118736,5,0
1628119335,6,32
1628119936,7,12
1628120535,13,16
1628121736,6,26
1628122336,6,0
1628122936,15,14
1628123536,9,4
1628124735,13,21
1628125337,9,6
1628125935,6,4
1628127136,3,8
1628127735,8,0
1628128336,8,19
1628128936,3,10
1628129535,5,7
1628130136,8,4
1628130736,10,5
1628131336,8,22
1628131936,5,8
1628132535,8,13
1628133135,5,4
1628133736,8,0
1628134337,7,0
1628134936,10,2
1628136136,13,44
1628136736,9,0
1628137336,3,12
1628137935,17,0
1628138535,8,0
1628139135,7,7
1628139736,16,30
1628140335,8,0
1628140935,3,16
1628143335,21,61
1628143935,42,7
1628144536,8,0
1628145136,4,0
1628145736,17,11
1628146935,8,18
1628148136,5,40
1628148736,8,0
