DateTime,AddedIPs,RemovedIPs
1627585937,0,1
1627586536,1,0
1627590738,1,2
1627592536,0,2
1627593735,3,0
1627595536,1,0
1627596136,1,0
1627596735,0,1
1627598536,0,1
1627601536,1,0
1627602735,0,1
1627603936,1,0
1627605136,3,0
1627606337,2,0
1627607536,0,2
1627609336,0,3
1627609936,1,0
1627610536,0,1
1627611736,0,1
1627612336,1,1
1627614136,0,3
1627616536,1,0
1627618936,1,0
1627620136,3,0
1627620736,1,0
1627621937,0,2
1627623736,0,1
1627626136,2,0
1627627336,0,1
1627629136,0,1
1627629736,0,2
1627630935,1,0
1627631536,0,1
1627633936,1,0
1627634536,1,0
1627635736,1,2
1627636936,1,0
1627637537,0,1
1627639335,1,1
1627639936,1,1
1627641134,1,0
1627642334,1,0
1627645334,2,0
1627645934,0,1
1627647735,0,2
1627648336,2,0
1627650136,1,0
1627651335,1,0
1627651935,2,0
1627653735,1,0
1627654335,1,2
1627655535,1,1
1627656135,0,29
1627656735,2,4
1627658535,7,7
1627659736,3,1
1627660936,0,2
1627661535,1,1
1627662135,1,0
1627669335,2,0
1627670534,1,1
1627672934,16,0
1627674135,2,1
1627674734,0,2
1627675335,0,2
1627675935,2,0
1627678934,0,2
1627679534,1,0
1627680135,0,1
1627681935,1,0
1627684935,0,1
1627686134,1,0
1627687334,1,0
1627687935,0,1
1627689135,0,2
1627690335,5,0
1627691535,0,1
1627692134,1,0
1627692735,2,0
1627693334,1,0
1627694534,2,0
1627695735,0,1
1627696335,2,0
1627698134,1,0
1627698734,1,0
1627699335,1,0
1627699934,1,0
1627701134,1,4
1627701734,0,2
1627702335,2,0
1627703535,0,2
1627704134,1,0
1627704735,0,2
1627706535,1,0
1627707134,1,0
1627707736,1,1
1627708335,0,1
1627710135,0,2
1627710734,2,2
1627711335,1,0
1627711935,1,0
1627713134,0,1
1627715535,4,0
1627717335,1,0
1627719135,4,1
1627720335,0,2
1627721533,7,0
1627722734,5,0
1627723334,2,0
1627723935,0,2
1627725734,0,2
1627727534,0,4
1627734135,2,1
1627734735,4,0
1627735335,1,0
1627735936,0,1
1627737136,0,1
1627738935,2,0
1627740135,0,2
1627741335,2,4
1627742536,1,0
1627743135,1,11
1627744335,37,8
1627746735,0,12
1627747935,1,0
1627750934,0,1
1627752735,1,0
1627753935,1,2
1627755734,0,1
1627756335,0,1
1627758736,2,2
1627759935,0,4
1627761135,5,56
1627761735,1,0
1627763535,1,0
1627764134,0,2
1627765935,2,0
1627769535,0,1
1627770135,1,0
1627771334,1,2
1627773134,0,1
1627773734,0,1
1627775534,2,0
1627777335,2,1
1627777935,1,1
1627779734,4,0
1627780334,2,2
1627782134,3,3
1627782734,2,0
1627783934,1,2
1627784534,2,0
1627786335,0,1
1627786935,1,1
1627788134,1,0
1627789334,1,4
1627791734,3,0
1627792334,1,0
1627792934,1,0
1627794135,0,1
1627795335,1,0
1627795935,1,0
1627797135,1,1
1627797734,1,0
1627798334,0,1
1627798934,1,0
1627800735,0,1
1627804333,1,1
1627804933,1,2
1627806134,0,1
1627807933,2,0
1627808534,0,1
1627809135,1,0
1627809734,0,2
1627811534,1,0
1627812733,1,0
1627817534,2,0
1627819333,1,0
1627821733,0,1
1627824133,0,1
1627825933,1,0
1627826533,3,1
1627827133,2,0
1627827733,1,1
1627828334,0,1
1627829533,0,1
1627830734,1,21
1627831334,2,1
1627837933,0,2
1627839133,2,0
1627843334,1,0
1627845135,1,1
1627846334,1,0
1627849934,5,0
1627851134,1,0
1627852334,0,1
1627852934,0,2
1627854733,0,1
1627855933,0,1
1627856533,1,0
1627858333,1,0
1627861334,1,0
1627862535,3,0
1627863734,5,1
1627865534,1,0
1627866734,2,0
1627867934,0,2
1627869134,2,0
1627870934,1,0
1627874533,1,0
1627875134,1,0
1627876334,2,0
1627878134,1,0
1627878735,72,0
1627879334,0,1
1627879934,0,2
1627880533,1,1
1627883534,0,1
1627884134,1,0
1627885333,2,0
1627885934,2,0
1627887134,0,1
1627888334,1,0
1627888933,1,0
1627889534,1,0
1627890133,0,2
1627891934,1,0
1627893134,1,1
1627894334,1,0
1627896134,2,0
1627896734,1,0
1627897334,2,0
1627897935,0,1
1627898535,1,0
1627899135,1,0
1627899735,1,0
1627900334,2,0
1627901534,1,0
1627903934,1,0
1627905734,2,0
1627908134,1,0
1627909336,0,1
1627909934,1,0
1627911135,0,1
1627911735,0,2
1627912334,0,3
1627914135,1,0
1627915934,0,2
1627916535,1,0
1627918336,0,1
1627918935,2,0
1627919535,1,0
1627920736,1,0
1627921336,1,1
1627921936,0,1
1627923737,3,3
1627924937,0,1
1627926136,0,3
1627926737,1,0
1627928537,2,0
1627931537,35,0
1627932137,0,1
1627933338,2,1
1627936338,0,2
1627938136,2,1
1627939337,1,0
1627944136,1,0
1627944736,0,1
1627946536,0,4
1627947137,0,5
1627948336,5,2
1627949537,1,2
1627950737,0,3
1627951336,1,0
1627951936,1,0
1627953136,0,1
1627954936,2,0
1627956136,0,6
1627959135,0,8
1627960336,1,0
1627960936,0,2
1627962135,0,1
1627964536,3,7
1627965136,0,7
1627965736,0,7
1627968136,1,0
1627969936,1,0
1627970536,0,2
1627971136,0,3
1627972936,1,1
1627973536,0,2
1627974737,1,2
1627975336,1,5
1627977137,0,32
1627977736,0,25
1627978936,0,5
1627980737,1,0
1627981337,0,3
1627983137,0,3
1627984336,1,1
1627986135,0,2
1627987335,0,1
1627987934,0,3
1627989134,0,1
1627989734,0,1
1627990934,1,0
1627991535,1,4
1627992135,0,2
1627993335,1,0
1627994535,0,3
1627998136,0,1
1628000537,0,1
1628001737,1,2
1628002336,0,1
1628003536,1,1
1628006537,1,1
1628009536,0,1
1628010136,0,1
1628010736,1,2
1628013136,1,0
1628014937,0,3
1628016737,0,2
1628017336,0,3
1628019136,4,5
1628020936,2,0
1628021535,0,1
1628023937,0,1
1628025137,0,1
1628030536,0,2
1628032936,0,2
1628033536,2,0
1628034136,4,1
1628034736,5,0
1628038937,1,4
1628039537,0,2
1628041337,2,2
1628041937,1,3
1628043736,0,1
1628044937,0,2
1628046137,0,2
1628046736,1,3
1628047336,0,1
1628049137,1,1
1628050937,0,1
1628052136,3,4
1628052737,1,2
1628054537,0,1
1628055737,1,2
1628056336,1,1
1628059337,0,1
1628060537,0,1
1628061137,1,0
1628061736,1,0
1628062937,0,1
1628063536,1,2
1628064736,0,1
1628067137,0,1
1628068337,1,0
1628068941,0,1
1628071336,0,5
1628071936,1,1
1628076135,0,1
1628077335,9,0
1628080335,5,0
1628080935,0,1
1628082136,1,0
1628083935,1,0
1628084535,1,0
1628085735,1,0
1628086935,7,1
1628087536,1,0
1628088136,6,2
1628089935,0,5
1628090535,1,0
1628091736,1,0
1628092936,2,1
1628094135,2,2
1628094735,1,0
1628095335,1,1
1628095935,2,1
1628096535,1,1
1628098335,1,1
1628098935,2,0
1628099535,3,3
1628100736,2,1
1628101336,2,0
1628102535,0,1
1628103134,0,33
1628103736,0,28
1628106735,12,0
1628107335,4,0
1628108536,1,0
1628109736,1,1
1628110336,1,0
1628112135,1,2
1628113335,1,0
1628113935,1,3
1628115736,1,0
1628116336,1,0
1628118136,1,0
1628118735,0,1
1628120535,3,0
1628121736,1,0
1628122936,1,0
1628123536,2,0
1628124136,0,2
1628125935,1,0
1628127136,3,0
1628127735,0,1
1628130136,1,0
1628131336,3,0
1628132535,0,1
1628133736,1,0
1628134936,1,3
1628136136,1,0
1628137336,1,2
1628138535,0,1
1628139736,1,2
1628142735,1,0
1628143335,0,5
1628144536,3,0
1628145736,4,0
1628146336,1,0
1628148136,3,0
1628148736,0,5
1628150536,1,0
1628151736,0,1
1628153536,0,1
1628156536,20,1
1628158936,1,0
1628161336,1,0
1628162536,0,1
1628163736,2,1
1628167335,0,2
1628168536,3,0
1628169737,1,0
1628170937,1,1
1628172137,1,0
1628174538,1,0
1628175137,0,4
1628176338,3,2
1628177538,2,0
1628178738,2,0
1628181738,0,2
1628182337,0,1
1628184137,3,1
1628185338,0,2
1628186537,1,1
1628187737,1,0
1628188937,1,1
1628190137,1,1
1628190737,0,1
1628191938,1,1
1628192537,5,1
1628193138,0,1
1628195538,2,0
1628196140,1,0
1628197337,2,0
1628197938,5,0
1628198537,0,1
1628199737,0,1
1628201536,0,3
1628202738,1,1
1628203336,2,0
1628204537,0,2
1628207536,2,0
1628208736,0,2
1628209337,2,0
1628210537,1,4
1628211137,0,1
1628212337,1,0
1628212937,0,2
1628213537,0,3
1628214736,1,6
1628215336,1,1
1628216536,0,4
1628217136,0,1
1628218335,0,1
1628218937,0,3
1628220135,1,1
1628221336,1,0
1628221936,0,2
1628223136,0,1
1628224935,6,1
1628226138,2,0
1628226737,0,2
1628227936,1,0
1628228536,0,4
1628229736,0,1
1628230335,2,0
1628230935,0,3
1628231536,1,0
1628233335,1,4
1628235736,0,2
1628236936,0,4
1628239336,1,2
1628240535,2,0
1628241136,0,4
1628241737,3,0
1628243536,6,1
1628244136,0,2
