DateTime,AddedIPs,RemovedIPs
1619396828,1,0
1619406774,1,0
1619439979,1,0
1619443979,1,0
1619454131,3,0
1619458027,1,0
1619463729,1,0
1619474503,1,0
1619478096,1,0
1619487694,2,0
1619494923,1,0
1619531089,1,0
1619540671,1,0
1619553829,1,0
1619570645,1,0
1619578014,3,0
1619592315,1,0
1619606147,1,0
1619616781,1,0
1619630875,2,0
1619638262,4,0
1619666728,2,0
1619688139,1,0
1619704837,1,0
1619711937,4,0
1619719029,1,0
1619726100,2,0
1619750993,1,0
1619754388,1,0
1619785202,1,0
1619818376,1,0
1619825473,2,0
1619832906,1,0
1619838546,1,0
1619842153,1,0
1619869423,1,0
1619900281,1,0
1619907437,3,0
1619911016,1,0
1619917001,1,0
1619924211,1,0
1619931360,2,0
1619945778,1,0
1619974625,1,0
1620049217,1,0
1620063537,1,0
1620077963,1,0
1620085169,2,0
1620102186,35,0
1620112022,2,0
1620134391,1,0
1620142063,0,163
1620163866,1,0
1620177777,1,0
1620183698,4,0
1620193256,2,0
1620209815,5,0
1620224364,2,0
1620233951,8,0
1620241034,1,0
1620265519,1,0
1620287032,2,0
1620290557,8,0
1620294101,2,0
1620297639,1,0
1620325956,2,0
1620336257,1,0
1620359616,1,0
1620380831,3,0
1620397196,1,0
1620406593,1,0
1620442087,3,0
1620445581,1,0
1620456167,1,0
1620463325,1,0
1620470341,1,0
1620491912,1,0
1620512755,1,0
1620535565,1,0
1620539085,1,0
1620542613,3,0
1620595099,1,0
1620614195,2,0
1620645453,2,0
1620690394,2,0
1620697779,2,0
1620704900,2,0
1620719078,1,0
1620733090,2,0
1620736592,3,0
1620740089,2,0
1620743590,1,0
1620747105,1,0
1620754089,1,0
1620776805,1,0
1620787314,1,0
1620794264,3,0
1620801741,1,0
1620808715,1,0
1620844266,3,0
1620851270,1,0
1620881169,1,0
1620902143,1,0
1620925637,1,0
1620932473,1,0
1620950724,1,0
1620957499,1,0
1620960975,1,0
1620982060,1,0
1620997961,1,0
1621001422,3,0
1621014331,5,0
1621021418,1,0
1621028502,4,0
1621035547,1,0
1621042677,1,0
1621128036,1,0
1621137655,6,0
1621151774,1,0
1621155299,1,0
1621201507,1,0
1621208539,1,0
1621215569,1,0
1621253279,1,0
1621284017,1,0
1621305009,2,0
1621319015,1,0
1621345617,1,0
1621352562,2,0
1621359669,1,0
1621366563,1,0
1621380441,1,0
1621394679,2,0
1621408968,1,0
1621415963,2,0
1621433046,1,0
1621457510,1,0
1621464492,2,0
1621471342,1,0
1621502522,2,0
1621523463,1,0
1621539703,1,0
1621553896,1,0
1621566379,1,0
1621582882,1,0
1621596924,1,0
1621624509,1,0
1621644653,1,0
1621651624,2,0
1621670299,2,0
1621677226,1,0
1621711694,1,0
1621728544,1,0
1621735534,1,0
1621742255,1,0
1621768967,2,0
1621796590,1,0
1621810485,1,0
1621817521,2,0
1621821056,1,0
1621824580,2,0
1621852953,2,0
1621881135,1,0
1621888774,1,0
1621901953,1,0
1621907545,1,0
1621914530,3,0
1621921571,1,0
1621935612,1,0
1621952830,1,0
1621959869,1,0
1621969345,3,0
1621983438,2,0
1621990392,1,0
1622000181,5,0
1622042816,2,0
1622058947,2,0
1622065774,1,0
1622072552,1,0
1622079661,1,0
1622086881,2,0
1622103600,2,0
1622120077,1,0
1622127396,1,0
1622134478,1,0
1622151568,1,0
1622158591,2,0
1622162317,1,0
1622165836,2,0
1622169342,1,0
1622186893,1,0
1622200557,1,0
1622206479,2,0
1622217973,3,0
1622244571,1,0
1622264629,1,0
1622271623,1,0
1622325745,1,0
1622343445,1,0
1622347012,1,0
1622357553,1,0
1622389279,1,0
1622392818,1,0
1622399883,1,0
1622430531,2,0
1622437633,2,0
1622464940,1,0
1622475780,3,0
1622489831,0,20
1622496868,0,339
1622504213,4,0
1622509838,1,0
1622519296,2,0
1622529946,1,0
1622537052,3,0
1622551417,1,0
1622562276,1,0
1622565828,1,0
1622590942,1,0
1622601935,2,0
1622616160,1,0
1622623268,2,0
1622630561,1,0
1622658991,2,0
1622666054,1,0
1622673135,1,0
1622684021,2,0
1622694663,1,0
1622751942,1,0
1622769476,1,0
1622775049,4,0
1622782316,1,0
1622806758,1,0
1622822849,1,0
1622829741,2,0
1622836683,1,0
1622843579,2,0
1622850534,2,0
1622857499,1,0
1622867966,1,0
1622880962,1,0
1622890335,3,0
1622897302,2,0
1622904292,1,0
1622911491,1,0
1622921986,8,0
1622939606,1,0
1622946644,1,0
1622953776,2,0
1622963216,1,0
1623002262,2,0
1623015825,1,0
1623026362,2,0
1623037114,1,0
1623044151,1,0
1623069052,1,0
1623072590,1,0
1623103312,23,0
1623106984,4,0
1623110651,10,0
1623114418,1,0
1623118062,1,0
1623121697,1,0
1623125360,3,0
1623164455,5,0
1623168101,2,0
1623171770,4,0
1623175436,3,0
1623183058,1,0
1623190408,1,0
1623212050,1,0
1623224182,3,0
1623231597,1,0
1623260890,1,0
1623301159,1,0
1623316366,2,0
1623323147,1,0
1623362228,1,0
1623380882,2,0
1623384635,1,0
1623391978,1,0
1623406853,1,0
1623420558,1,0
1623432779,2,0
1623451386,1,0
1623466254,1,0
1623473718,1,0
1623499200,8,0
1623521913,1,0
1623529327,1,0
1623550687,2,0
1623557833,1,0
1623639584,1,0
1623647045,1,0
1623696293,1,0
1623703727,1,0
1623726371,1,0
1623780664,1,0
1623784360,1,0
1623791561,3,0
1624190952,21,0
1624201574,3,0
1624223721,1,0
1624244853,1,0
1624254995,3,0
1624277628,1,0
1624296678,1,0
1624325882,1,0
1624349569,1,0
1624376730,1,0
1624392962,2,0
1624400209,0,220
1624404131,1,0
1624412266,1,0
1624419477,1,0
1624460358,1,0
1624466352,1,0
1624473696,1,0
1624480888,1,0
1624488241,1,0
1624503255,1,0
1624510776,1,0
1624526065,1,0
1624533378,1,0
1624537140,2,0
1624564350,3,0
1624582010,1,0
1624591881,2,0
1624599363,1,0
1624610583,1,0
1624639254,2,0
1624675985,1,0
1624683506,2,0
1624691146,1,0
1624698660,1,0
1624716077,1,0
1624743696,2,0
1624751207,2,0
1624758731,1,0
1624766297,3,0
1624789076,1,0
1624798989,1,0
1624806612,1,0
1624831750,1,0
1624846172,1,0
1624853676,1,0
1624885794,1,0
1624893553,1,0
1624906906,1,0
1624918240,1,0
1624953192,1,0
1624960653,1,0
1624977668,2,0
1625000343,1,0
1625007824,2,0
1625011555,1,0
1625018741,1,0
1625027613,2,0
1625033777,2,0
1625072295,2,0
1625091359,1,0
1625106534,3,0
1625114090,1,0
1625131718,1,0
1625158214,1,0
1625165867,4,0
1625181012,1,0
1625196156,3,0
1625206119,1,0
1625255420,1,0
1625263050,1,0
1625278142,26,0
1625282009,2,0
1625285862,4,0
1625307297,2,0
1625317565,1,0
1625340778,2,0
1625360369,1,0
1625393416,1,0
1625400665,1,0
1625441711,1,0
1625449385,1,0
1625457081,1,0
1625472421,4,0
1625480112,1,0
1625491616,1,0
1625514692,2,0
1625544448,1,0
1625565786,2,0
1625580899,1,0
1625584717,1,0
1625602004,1,0
1625629542,1,1
1625633552,0,44
1625693124,3,0
1625697442,1,0
1625703306,3,0
1625713232,3,0
1625720587,3,0
1625735359,1,0
1625752552,1,0
1625759910,1,0
1625767271,1,0
1625778151,3,0
1625785527,2,0
1625800280,2,0
1625841108,1,0
1625844855,3,0
1625854915,1,0
1625862400,3,0
1625879598,1,0
1625886962,2,0
1625894704,1,0
1626178790,7,0
1626186030,1,0
1626197346,1,0
1626226798,2,0
1626230529,1,0
1626245088,1,0
1626256068,1,0
1626267127,1,0
1626281993,1,0
1626306752,1,0
1626310392,11,0
1626314057,1,0
1626317672,1,0
1626321296,1,0
1626331125,2,0
1626382572,2,0
1626390023,1,0
1626407152,1,0
1626414655,1,0
1626431633,1,0
1626438935,4,0
1626446289,1,0
1626470420,1,0
1626483628,1,0
1626490810,2,0
1626501669,0,23
1626505306,2,0
1626512491,3,0
1626526834,2,0
1626533876,1,0
1626544908,1,0
1626555900,1,0
1626884984,13,160
1626893472,3,0
1626911868,2,0
1626926822,2,0
1626934213,1,0
1626941725,1,0
1626992095,2,0
1626995695,1,0
1627005330,1,0
1627008936,1,0
1627016176,3,0
1627041974,1,0
1627059283,2,0
1627292751,8,27
1627338359,1,0
1627349514,3,0
1627378233,1,0
1627385618,1,0
1627430931,1,0
1627441876,1,0
1627449325,1,0
1627482334,1,0
1627495115,0,51
1627519949,1,0
1627531277,1,0
1627541469,1,0
1627555585,2,0
1627563054,1,0
1627591562,2,0
1627602879,3,0
1627618011,2,0
1627636445,1,0
1627676901,1,0
1627680624,0,6
1627684599,1,0
1627691991,1,0
1627701577,1,0
1627709218,1,0
1627746063,1,0
1627761040,3,0
1627790334,2,0
1627801051,1,0
1627808473,1,0
1627840562,1,0
1627844289,1,0
1627850874,1,0
1627891160,1,0
1627894939,1,0
1627898757,0,11
1627923773,1,0
1627931173,1,0
1627954248,1,0
1627965482,1,0
1627972995,4,0
1628244582,27,0
