DateTime,AddedIPs,RemovedIPs
1623846781,3,1
1623850381,1,1
1623853981,0,1
1623857581,1,0
1623871981,0,1
1623889981,0,1
1623893582,0,1
1623897182,0,1
1623904381,0,1
1623915181,0,1
1623918781,2,0
1623922381,1,0
1623925981,0,1
1623940381,1,2
1623943981,1,1
1623951182,1,0
1623954782,0,1
1623987181,0,1
1623997981,0,1
1624012381,1,0
1624015981,0,1
1624026782,1,0
1624030381,1,0
1624033981,0,2
1624044781,0,1
1624048381,0,2
1624051981,1,1
1624062781,0,1
1624066381,1,0
1624084381,2,0
1624087982,1,0
1624091581,1,2
1624095181,1,0
1624098781,0,1
1624109581,0,1
1624113181,0,2
1624116781,1,0
1624120381,0,1
1624134781,0,3
1624145581,0,1
1624152782,1,0
1624188781,0,1
1624195981,1,0
1624199581,4,4
1624203182,1,0
1624210381,0,1
1624217582,0,1
1624224781,1,1
1624228381,0,1
1624231981,0,1
1624242781,2,0
1624257181,1,0
1624260781,1,0
1624267981,0,2
1624271581,0,1
1624275182,0,1
1624282381,1,1
1624300382,1,0
1624303982,3,0
1624307582,1,0
1624311182,1,0
1624329181,1,0
1624332781,0,1
1624343581,1,0
1624350781,1,0
1624354381,0,1
1624361581,0,2
1624365181,1,0
1624372381,1,0
1624380629,3,1
1624390382,0,1
1624397582,1,0
1624404781,1,2
1624411981,0,1
1624415582,0,1
1624426381,1,1
1624433581,0,1
1624437183,1,0
1624440781,0,1
1624444381,1,1
1624447981,1,0
1624451582,5,0
1624455181,2,0
1624458781,4,0
1624462381,2,0
1624465982,1,0
1624469582,4,0
1624473181,1,0
1624476782,2,0
1624480382,1,0
1624483981,1,0
1624487582,1,0
1624491181,1,0
1624505581,0,1
1624509181,0,1
1624519982,0,1
1624523582,1,0
1624527181,0,1
1624537982,1,0
1624541581,1,1
1624545181,1,0
1624552381,1,0
1624555981,6,0
1624559581,1,1
1624577581,0,1
1624591981,0,1
1624599182,0,2
1624602781,0,1
1624609981,1,0
1624613581,1,0
1624617181,1,1
1624620781,2,0
1624624382,2,0
1624627981,1,1
1624631581,3,0
1624638781,1,1
1624645982,0,1
1624649581,1,1
1624653182,1,2
1624656781,1,0
1624660381,1,0
1624678381,1,0
1624699981,1,0
1624703581,0,2
1624717981,0,1
1624721581,1,0
1624725181,3,0
1624743181,0,1
1624753982,0,1
1624761181,1,0
1624775581,1,0
1624782782,0,1
1624789982,0,1
1624800781,1,0
1624811582,3,0
